Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After
TURI.JK,2019Q2,Retailers,2.37797619,3.993534198,6.29824E+12,2.57315E+12,26.0650796,-4.506199766,1,1
ULTJ.JK,2019Q2,Food Producers,3.476990591,4.176527701,6.17534E+12,1.1451E+12,16.92443618,16.88440234,0,1
UNIC.JK,2019Q2,Chemicals,0.576810679,0.962191029,3.1211E+12,9.18965E+11,-58.90992485,-25.15742293,0,1
UNIT.JK,2019Q2,Investment Banking and Brokerage Services,-0.022568124,0.002509067,4.20833E+11,2.92165E+11,-3.95892219,71.31661391,1,1
UNTR.JK,2019Q2,Industrial Engineering,2.182048976,4.699021112,1.18272E+14,6.34717E+13,0.230360349,3.835281173,1,1
UNVR.JK,2019Q2,"Personal Care, Drug and Grocery Stores",8.884577097,27.56781426,2.18273E+13,1.67521E+13,15.61176611,3.406143059,0,1
VICO.JK,2019Q2,Investment Banking and Brokerage Services,0.072473968,0.724877192,2.9753E+13,2.70822E+13,-51.02825577,8.57893594,1,1
VOKS.JK,2019Q2,Technology Hardware & Equipment,1.515345657,3.72029122,2.43267E+12,1.52254E+12,403.9144188,32.26748165,0,1
VRNA.JK,2019Q2,Finance and Credit Services,-0.731841949,-3.042130041,2.60782E+12,2.11959E+12,-10.60589223,27.00861732,0,1
WAPO.JK,2019Q2,Food Producers,-1.03080623,-1.263163262,1.02245E+11,9533743440,-166.7720411,-15.0290875,0,1
WEHA.JK,2019Q2,Travel and Leisure,0.855308279,1.800048278,3.25501E+11,1.83457E+11,9.227765828,10.57387485,1,1
WICO.JK,2019Q2,Retailers,-1.715550667,-2.621967003,3.96195E+11,1.32843E+11,512.0234462,38.08501737,1,1
WIIM.JK,2019Q2,Tobacco,0.253344157,0.328046405,1.28849E+12,2.88288E+11,273.0800504,-1.080919133,1,1
WIKA.JK,2019Q2,Construction and Materials,1.145187902,3.975195578,5.96389E+13,4.29299E+13,26.99864423,-27.68770855,0,1
WINS.JK,2019Q2,Industrial Transportation,-1.080997746,-1.714169939,3.76709E+12,1.72946E+12,128.2380273,-12.61931169,1,1
WOMF.JK,2019Q2,Finance and Credit Services,0.407565226,2.962394468,8.36076E+12,7.16853E+12,-9.459964356,-6.999440804,0,1
WOOD.JK,2019Q2,Household Goods and Home Construction,1.352118623,2.500573249,4.8679E+12,1.99856E+12,8.765745653,10.82465963,0,1
WSBP.JK,2019Q2,Construction and Materials,0.614917766,1.135438798,1.47021E+13,6.44843E+12,-52.87125599,4.650697917,0,1
WSKT.JK,2019Q2,Construction and Materials,0.167029431,1.532891848,1.32574E+14,1.1455E+14,-66.43016226,-41.79854675,0,1
WTON.JK,2019Q2,Construction and Materials,1.084933854,3.158337834,8.84762E+12,5.61916E+12,21.33727243,-4.147006123,0,1
YPAS.JK,2019Q2,Chemicals,-0.714192546,-1.91389745,3.01324E+11,2.07531E+11,-105.6508296,-5.020258789,0,1
