Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After
FIRE.JK,2018Q2,Retailers,-2.565863175,-5.640559684,4.99036E+11,2.42576E+11,-19.33270054,335.9421757,1,0
FISH.JK,2018Q2,Food Producers,1.231997911,4.523837645,4.22872E+12,2.90884E+12,23.20453592,21.60484073,0,0
FMII.JK,2018Q2,Personal Goods,0.168881522,0.242249961,9.063E+11,2.48125E+11,100.7936543,573.9898128,1,0
FORU.JK,2018Q2,Media,-4.894865495,-10.71969388,1.38034E+11,78911738650,11.6050408,-46.98612357,1,0
FPNI.JK,2018Q2,General Industrials,0.795576007,1.72281362,3.02643E+12,1.55002E+12,-77.96138006,-0.449305517,1,0
FREN.JK,2018Q2,Telecommunications Service Providers,-3.994628379,-11.92889287,2.40991E+13,1.56421E+13,38.22586067,19.39489684,0,0
GAMA.JK,2018Q2,Real Estate Investment and Services Development,0.019765694,0.029474438,1.41836E+12,3.11786E+11,-258.4640494,72.42039256,1,0
GDST.JK,2018Q2,Industrial Metals and Mining,-1.411011922,-2.175316372,1.32178E+12,3.96082E+11,-82.72933902,-5.955256525,1,0
GDYR.JK,2018Q2,Automobiles and Parts,0.443314372,1.094203407,1.97503E+12,1.19292E+12,57.56220236,-1.381633554,1,0
GEMA.JK,2018Q2,Household Goods and Home Construction,0.304376471,0.698324098,9.66589E+11,5.00914E+11,39.19618849,123.1714107,0,0
GEMS.JK,2018Q2,"Oil, Gas and Coal",3.620060825,6.190127395,7.21785E+12,3.72959E+12,61.60428691,62.25566851,0,0
GGRM.JK,2018Q2,Tobacco,2.573100001,3.921947573,6.59772E+13,2.52541E+13,28.25087216,15.03625068,1,0
GIAA.JK,2018Q2,Travel and Leisure,0.227334044,0.649361394,5.10491E+13,3.89113E+13,-64.85724692,7.450643601,1,0
GJTL.JK,2018Q2,Automobiles and Parts,-0.759648815,-2.537786078,1.91887E+13,1.34958E+13,61.8627874,-4.426612657,1,0
GMTD.JK,2018Q2,Real Estate Investment and Services Development,1.920370001,3.334649218,1.24802E+12,5.16651E+11,25.58048921,41.93018944,1,0
GOLD.JK,2018Q2,Retailers,0.680398717,1.453164081,2.07933E+11,1.23114E+11,-286.8241359,64.42587321,1,0
GOLL.JK,2018Q2,Food Producers,-1.185207912,-2.93674772,2.37604E+12,1.65489E+12,-121.2534628,171.1532271,0,0
GPRA.JK,2018Q2,Real Estate Investment and Services Development,0.233734181,0.311638118,1.51705E+12,5.41717E+11,-10.6382482,-1.291922045,1,0
GTBO.JK,2018Q2,"Oil, Gas and Coal",3.333477363,4.165889049,8.06642E+11,1.50917E+11,20.76780918,967.9292466,0,0
GWSA.JK,2018Q2,Real Estate Investment and Services Development,0.453795359,0.503629337,7.32136E+12,6.25085E+11,347.8835902,-29.34811336,1,0
GZCO.JK,2018Q2,Food Producers,-2.062001292,-4.876302012,3.27776E+12,1.96676E+12,122.3344769,10.91158527,0,0
HADE.JK,2018Q2,Investment Banking and Brokerage Services,-0.740682042,-0.67073285,72507207980,8352788980,80.04442816,680.532,1,0
HDFA.JK,2018Q2,Finance and Credit Services,-0.171720032,-1.192292131,3.57249E+12,3.05007E+12,-8.582654611,-6.403081733,0,0
HDTX.JK,2018Q2,Industrial Materials,-10.95604115,-92.38315261,4.03509E+12,3.83538E+12,-7.633098093,-66.49375891,1,0
HERO.JK,2018Q2,Retailers,0.495747519,0.737116338,7.8056E+12,2.57418E+12,-145.03662,-0.327154163,1,0
HEXA.JK,2018Q2,Industrial Engineering,1.549004332,2.850290648,3.97929E+12,1.76394E+12,-5.687991132,29.78002862,1,0
HITS.JK,2018Q2,Industrial Transportation,2.762936193,15.73103894,2.60737E+12,2.17916E+12,-0.790055117,1.019857551,1,0
HMSP.JK,2018Q2,Tobacco,6.405958456,9.496083777,4.38789E+13,1.61601E+13,11.67852192,8.360089773,1,0
HOKI.JK,2018Q2,Food Producers,3.491194446,4.601919065,6.71156E+11,1.90891E+11,4.418634508,8.782835145,0,0
HOME.JK,2018Q2,Travel and Leisure,0.039780361,0.052528462,2.8256E+11,60444354870,-3110.459646,15.07741339,1,0
HOTL.JK,2018Q2,Travel and Leisure,-0.192539562,-0.561884207,1.12942E+12,7.23486E+11,-69.61863262,60.01339439,1,0
HRUM.JK,2018Q2,"Oil, Gas and Coal",1.337277784,1.486383532,6.22352E+12,2.1264E+12,-24.39002437,-17.79193873,0,0
IATA.JK,2018Q2,Travel and Leisure,-7.379445059,-13.3379033,9.9864E+11,4.68267E+11,-58.239507,50.93945646,1,0
IBFN.JK,2018Q2,Finance and Credit Services,-2.719619474,-56.73372444,2.04541E+12,1.98081E+12,-58.80100149,-207.2481207,0,0
IBST.JK,2018Q2,Telecommunications Service Providers,0.532994608,0.796201601,7.0695E+12,2.09375E+12,-6.962692537,7.479752188,0,0
ICBP.JK,2018Q2,Food Producers,3.170381772,5.374394293,3.47547E+13,1.48864E+13,13.12638982,6.398380486,0,0
ICON.JK,2018Q2,Real Estate Investment and Services Development,0.094896023,0.071616192,4.25035E+11,2.97305E+11,-73.49473435,-4.287267875,1,0
IDPR.JK,2018Q2,Construction and Materials,0.080786921,0.118554529,1.80077E+12,5.64383E+11,-51.11807571,-43.39024113,0,0
IGAR.JK,2018Q2,General Industrials,2.510852169,3.130354444,5.7695E+11,2.25798E+11,-20.73987038,7.983989744,1,0
IIKP.JK,2018Q2,Food Producers,-1.00904866,-1.095524305,3.07836E+11,24749057710,-41.20229336,-89.74048712,0,0
IKBI.JK,2018Q2,Electronic and Electrical Equipment,1.238583198,1.532529926,1.12016E+12,2.22969E+11,12.97518833,31.06188762,1,0
IMAS.JK,2018Q2,Automobiles and Parts,-0.006387182,-0.328087167,3.53996E+13,2.58495E+13,54.55690098,16.40575458,1,0
IMJS.JK,2018Q2,Consumer Services,0.337705868,2.094761341,1.53123E+13,1.29126E+13,31.74693696,11.94299454,1,0
IMPC.JK,2018Q2,General Industrials,0.322203837,0.812057878,2.39512E+12,1.3493E+12,-43.48287052,19.41394757,1,0
INAF.JK,2018Q2,Pharmaceuticals and Biotechnology,0.603537718,1.673158052,1.465E+12,9.38335E+11,-297.273829,-1.087033087,0,0
INAI.JK,2018Q2,Industrial Metals and Mining,1.050535547,4.565045226,1.25329E+12,9.62928E+11,32.0217304,5.388212543,1,0
INCF.JK,2018Q2,Chemicals,2.13289689,8.027046237,5.31958E+11,3.90917E+11,-186.0342998,-21.8606422,0,0
INCI.JK,2018Q2,Chemicals,1.244430268,1.429875703,3.20869E+11,41747243550,40.88820927,32.7938521,0,0
INCO.JK,2018Q2,Precious Metals and Mining,1.044662071,1.227166799,3.094E+13,4.4542E+12,-261.4082945,48.35359519,1,0
INDF.JK,2018Q2,Food Producers,1.047305713,2.4108658,9.36195E+13,6.05684E+13,0.099700053,3.094783045,0,0
INDR.JK,2018Q2,Personal Goods,1.216311576,3.439965855,1.24173E+13,8.06241E+12,112.7641349,27.06398047,1,0
INDS.JK,2018Q2,Automobiles and Parts,1.316306378,1.526705468,2.48279E+12,2.97915E+11,38.29024603,29.88821903,1,0
INDY.JK,2018Q2,"Oil, Gas and Coal",0.57358107,1.841051375,5.1038E+13,3.7196E+13,133.5894341,197.6336328,0,0
INKP.JK,2018Q2,Industrial Materials,2.281527036,5.381428118,1.18427E+14,6.34589E+13,90.47482176,23.71594109,1,0
INPP.JK,2018Q2,Real Estate Investment and Services Development,-0.364975282,-1.044086352,6.72277E+12,3.04264E+12,238.9643377,43.5919739,1,0
INRU.JK,2018Q2,Industrial Materials,-0.288168005,-0.628749511,5.21448E+12,2.95445E+12,-170.2034273,-4.337490824,1,0
INTD.JK,2018Q2,Leisure Goods,3.032090432,4.269797072,52441203660,14126772330,203.1417829,37.80923569,1,0
INTP.JK,2018Q2,Construction and Materials,0.329925766,0.385261917,2.64612E+13,4.12488E+12,-95.42424565,-3.864672375,0,0
IPOL.JK,2018Q2,General Industrials,0.350658516,0.662594155,4.14203E+12,1.85267E+12,31.79886501,13.72935447,1,0
ISAT.JK,2018Q2,Telecommunications Service Providers,0.059716461,-1.416860819,4.98575E+13,3.7167E+13,-57.25303621,-31.3096462,0,0
ISSP.JK,2018Q2,Industrial Metals and Mining,0.021132834,0.048505537,6.65513E+12,3.59985E+12,-17.30251075,25.45672842,1,0
ITMA.JK,2018Q2,"Oil, Gas and Coal",3.939732531,3.949168243,1.84718E+12,4148072500,13.07358185,-80.30838855,0,0
ITMG.JK,2018Q2,"Oil, Gas and Coal",3.311444926,5.059544639,1.87609E+13,5.88706E+12,-1.517851006,21.54258862,0,0
JAWA.JK,2018Q2,Food Producers,-1.055750308,-4.822309058,3.48902E+12,2.76304E+12,-129.4253855,62.81404485,0,0
JECC.JK,2018Q2,Technology Hardware & Equipment,0.491584916,1.815180486,2.1768E+12,1.49251E+12,6.529433707,38.22598451,0,0
JGLE.JK,2018Q2,Travel and Leisure,-0.297389541,-0.511443222,3.91668E+12,1.64206E+12,3867.631337,-6.081056245,1,0
JIHD.JK,2018Q2,Real Estate Investment and Services Development,0.472925067,-0.033593487,6.73038E+12,3.08869E+12,34.32627827,1.005524121,1,0
JKON.JK,2018Q2,Construction and Materials,0.571358528,1.022275943,4.3206E+12,1.66207E+12,-317.4434912,-11.30460905,0,0
JPFA.JK,2018Q2,Food Producers,3.301107921,7.723541693,2.19931E+13,1.30067E+13,97.89620528,17.79795539,0,0
JRPT.JK,2018Q2,Real Estate Investment and Services Development,2.041438087,3.45651531,1.03376E+13,4.52692E+12,-20.12504123,-6.711871734,1,0
JSMR.JK,2018Q2,Industrial Transportation,0.478032121,2.962214024,8.74753E+13,7.18735E+13,-9.058459885,11.39853679,1,0
JSPT.JK,2018Q2,Travel and Leisure,6.071369275,7.354955426,4.5622E+12,2.16897E+12,-2.780847386,108.9529948,1,0
JTPE.JK,2018Q2,Industrial Support Services,0.782147271,1.29943815,1.02594E+12,4.893E+11,-36.02910938,20.04067884,1,0
KAEF.JK,2018Q2,Pharmaceuticals and Biotechnology,1.9136426,4.544338131,7.94152E+12,3.9539E+12,104.472245,32.98759744,0,0
KBLI.JK,2018Q2,Electronic and Electrical Equipment,0.484178456,0.958202409,2.87909E+12,1.41706E+12,-35.69792183,16.79924569,1,0
KBLM.JK,2018Q2,Electronic and Electrical Equipment,0.139549665,0.192855435,1.0702E+12,2.87557E+11,-38.46184638,-27.81172927,1,0
KBLV.JK,2018Q2,Telecommunications Service Providers,-9.393203493,-18.28048649,9.99533E+12,6.05972E+12,89.19250008,-4.171181158,0,0
KBRI.JK,2018Q2,Industrial Materials,-1.810097574,-5.30317134,1.26373E+12,8.15936E+11,-64.90079752,1.635437613,1,0
KDSI.JK,2018Q2,Household Goods and Home Construction,1.179592705,2.971284898,1.24119E+12,7.22345E+11,58.33433718,9.955861574,0,0
KIAS.JK,2018Q2,Construction and Materials,-1.676892499,-1.99856582,1.72895E+12,3.86113E+11,47.18372756,11.40674562,0,0
KICI.JK,2018Q2,Household Goods and Home Construction,-0.812575076,-1.357233767,1.5222E+11,60420377800,-90.83195818,-42.34020855,0,0
KIJA.JK,2018Q2,Real Estate Investment and Services Development,-2.336355148,-5.12535726,1.1415E+13,6.13403E+12,-71.98338467,-51.8334313,1,0
KINO.JK,2018Q2,"Personal Care, Drug and Grocery Stores",1.147720637,1.928019275,3.53274E+12,1.48097E+12,124.1570253,15.74542398,0,0
KIOS.JK,2018Q2,Software & Computer Services,0.923213431,2.756376123,2.63817E+11,1.72169E+11,-232.3688563,1974.641958,1,0
KKGI.JK,2018Q2,"Oil, Gas and Coal",-0.707404615,-0.79180881,1.46152E+12,2.00795E+11,-71.4133445,-60.49537372,0,0
KLBF.JK,2018Q2,Pharmaceuticals and Biotechnology,3.611268571,4.603704648,1.7893E+13,4.55345E+12,-0.802130598,3.824856637,0,0
KMTR.JK,2018Q2,Automobiles and Parts,0.983360415,2.430639528,3.79194E+12,2.32328E+12,-54.94364751,-17.85726328,1,0
KOBX.JK,2018Q2,Industrial Transportation,0.376376533,1.113311764,1.34949E+12,7.4887E+11,54.62505582,29.11991802,1,0
KOIN.JK,2018Q2,Retailers,-0.816687017,-5.745198175,7.86298E+11,6.07545E+11,-75.88224104,5.825269164,1,0
KONI.JK,2018Q2,Leisure Goods,-0.087058914,-0.664978072,1.16184E+11,1.01088E+11,-158.507881,32.33125188,1,0
KOPI.JK,2018Q2,"Oil, Gas and Coal",2.311063168,3.301683146,1.7181E+11,52767517660,-210.8973733,-64.75939591,0,0
KPIG.JK,2018Q2,Real Estate Investment and Services Development,0.021099413,-0.01151887,1.62811E+13,3.48883E+12,-24.44672939,-15.04251761,1,0
KRAH.JK,2018Q2,Industrial Engineering,-1.533928085,-4.767752588,5.98712E+11,3.47268E+11,43.22489488,-30.37161458,1,0
KRAS.JK,2018Q2,Industrial Metals and Mining,-0.251875941,-0.621872782,5.93104E+13,3.41837E+13,-24.79730714,39.41673664,1,0
KREN.JK,2018Q2,Investment Banking and Brokerage Services,5.723923873,9.56450409,2.13796E+12,1.05801E+12,63.40964139,1121.600625,1,0
LEAD.JK,2018Q2,"Oil, Gas and Coal",-1.633040858,-3.537541199,2.74075E+12,1.49214E+12,6.238872453,3.47269023,0,0
LINK.JK,2018Q2,Telecommunications Service Providers,4.689493111,6.027348516,5.92041E+12,1.25218E+12,13.4454999,11.53364013,0,0
LION.JK,2018Q2,Industrial Metals and Mining,0.555629973,0.820348735,6.75296E+11,2.28207E+11,103.5417278,15.55693629,1,0
LMAS.JK,2018Q2,Media,0.428294861,1.526030159,4.35393E+11,3.67262E+11,-22.40871356,4.111753533,1,0
LMPI.JK,2018Q2,Household Goods and Home Construction,-2.39433187,-5.280025284,7.848E+11,4.47367E+11,-56.19204515,5.387529843,0,0
LMSH.JK,2018Q2,Industrial Metals and Mining,-0.665174621,-0.815367893,1.57511E+11,31039646140,-69.7542244,9.806154238,1,0
LPCK.JK,2018Q2,Real Estate Investment and Services Development,17.42203414,26.0235895,9.7249E+12,2.37279E+12,3230.828492,110.5883203,1,0
LPIN.JK,2018Q2,Automobiles and Parts,3.019533118,3.404222258,2.63133E+11,23378395060,-133.8728582,-52.14151875,1,0
LPKR.JK,2018Q2,Real Estate Investment and Services Development,2.242346851,1.597281717,5.41053E+13,3.28032E+13,-86.03962871,35.96174689,1,0
LPLI.JK,2018Q2,Software & Computer Services,-1.548285829,-1.935427459,1.52609E+12,3.10523E+11,-80.13770982,-18.15102697,1,0
LPPF.JK,2018Q2,Retailers,18.11149846,44.70447133,6.71138E+12,2.83956E+12,1.028013965,1.758889868,1,0
LPPS.JK,2018Q2,Investment Banking and Brokerage Services,0.101213213,0.102351254,1.22184E+12,13817941740,702.8652694,-230.8290748,1,0
LRNA.JK,2018Q2,Industrial Transportation,-2.100205282,-2.66766948,2.45386E+11,53342412020,11.09775296,1.720545327,1,0
LSIP.JK,2018Q2,Food Producers,1.150960382,1.401797131,1.02479E+13,1.92248E+12,-69.55830926,-40.67854274,0,0
LTLS.JK,2018Q2,Chemicals,0.347845085,0.76807877,6.40265E+12,4.6328E+12,-15.24144066,-6.549155914,0,0
MAIN.JK,2018Q2,Food Producers,2.150500827,4.924776713,4.0987E+12,2.27212E+12,254.0144143,10.89762398,0,0
MAMI.JK,2018Q2,Travel and Leisure,2.14289191,2.799058113,8.8381E+11,1.97539E+11,77.94512286,78.15601512,1,0
MAPB.JK,2018Q2,Travel and Leisure,1.728504662,2.659821538,1.62131E+12,5.85779E+11,230.8803733,37.27177616,1,0
MAPI.JK,2018Q2,Retailers,0.374487934,0.868267333,1.18437E+13,7.37109E+12,29.31131524,16.59325878,1,0
MARI.JK,2018Q2,Media,2.95025426,4.233499556,2.80829E+11,1.02345E+11,-0.498365062,33.06998313,1,0
MASA.JK,2018Q2,Automobiles and Parts,0.071903844,0.151637985,9.54914E+12,4.70974E+12,93.89973674,25.69115547,1,0
MBAP.JK,2018Q2,"Oil, Gas and Coal",6.914010902,9.019124896,2.4002E+12,5.63924E+11,-22.36920071,-13.2289005,0,0
MBSS.JK,2018Q2,Industrial Transportation,-1.373899332,-1.994224898,3.57487E+12,1.13561E+12,199.9819027,11.07660649,1,0
MBTO.JK,2018Q2,Personal Goods,-2.892659542,-5.503510126,7.53967E+11,3.62965E+11,-459.5438517,-23.1117819,1,0
MCAS.JK,2018Q2,Software & Computer Services,3.571099173,7.031417885,7.27041E+11,3.38321E+11,2174.023729,365.0965242,1,0
MDIA.JK,2018Q2,Media,2.238776527,4.591140347,5.79229E+12,2.74031E+12,-22.9352531,10.76701289,1,0
MDKA.JK,2018Q2,Industrial Metals and Mining,1.598163105,3.27879966,9.71673E+12,2.64071E+12,-3959.054838,420.8594665,1,0
MDKI.JK,2018Q2,Chemicals,1.39619049,1.614434058,8.47421E+11,1.09742E+11,-61.27124563,-3.931005557,0,0
MDLN.JK,2018Q2,Real Estate Investment and Services Development,0.761311122,1.568566244,1.47877E+13,7.60188E+12,-42.86784339,-37.36442446,1,0
MEDC.JK,2018Q2,"Oil, Gas and Coal",0.504903154,1.577747772,7.31326E+13,5.27736E+13,74.66160152,58.89238188,0,0
MERK.JK,2018Q2,Pharmaceuticals and Biotechnology,1.119195399,1.62488683,9.46048E+11,2.11132E+11,-69.60721305,-46.89762794,0,0
META.JK,2018Q2,Industrial Transportation,1.20796699,2.179452614,5.23725E+12,3.32312E+12,0.241768109,11.46590409,1,0
MFIN.JK,2018Q2,Finance and Credit Services,1.933653954,3.333557,3.43641E+12,1.55851E+12,8.249796066,5.310206434,0,0
MFMI.JK,2018Q2,Industrial Support Services,2.906561369,3.526833567,2.5323E+11,44182914100,28.55960029,15.45211272,1,0
MICE.JK,2018Q2,"Personal Care, Drug and Grocery Stores",0.744951429,1.021423889,8.57675E+11,2.11568E+11,9.497385023,9.24175781,0,0
MIDI.JK,2018Q2,Retailers,0.653537179,3.501560824,5.04768E+12,4.13182E+12,8.301754283,11.6457866,1,0
MIKA.JK,2018Q2,Health Care Providers,3.384065549,4.041384995,4.79145E+12,1.00065E+12,2.438600073,10.83495769,0,0
MIRA.JK,2018Q2,Industrial Transportation,0.387024623,0.576911309,3.56531E+11,1.41009E+11,-326.4787339,22.42133819,1,0
MKNT.JK,2018Q2,Telecommunications Equipment,1.965200916,4.267356585,1.10195E+12,7.74693E+11,132.7592834,-24.34203502,0,0
MKPI.JK,2018Q2,Real Estate Investment and Services Development,2.996978132,4.136571313,6.57181E+12,1.81186E+12,-31.37784588,-32.90947296,1,0
MLBI.JK,2018Q2,Beverages,9.945415733,28.25148554,2.3117E+12,1.80951E+12,38.93081552,24.74842041,0,0
MLIA.JK,2018Q2,Construction and Materials,0.286327417,0.80855158,5.12952E+12,3.28789E+12,-127.7754685,2.354201672,0,0
MLPL.JK,2018Q2,Retailers,-2.76545552,-8.868362021,1.83172E+13,1.66994E+13,-11.42958473,-17.11506685,1,0
MLPT.JK,2018Q2,Software & Computer Services,0.43852885,1.681461823,1.88082E+12,1.09532E+12,7.786937223,3.646915283,1,0
MMLP.JK,2018Q2,Industrial Support Services,4.181035733,5.010484774,5.36367E+12,1.93526E+12,62.68395367,26.62788865,1,0
MNCN.JK,2018Q2,Media,2.565581135,3.887275969,1.60888E+13,6.665E+12,9.653610401,3.535678977,1,0
MPMX.JK,2018Q2,Automobiles and Parts,0.699420488,1.235408132,1.55838E+13,6.73311E+12,1111.087889,16.86759428,1,0
MPOW.JK,2018Q2,Electricity,-0.638085866,-1.435824027,3.28826E+11,1.84343E+11,-24.59352585,-6.615699623,1,0
MPPA.JK,2018Q2,Retailers,-2.903894915,-14.60520081,5.57988E+12,4.56556E+12,-15.98990373,-5.979532984,1,0
MRAT.JK,2018Q2,Personal Goods,0.136722979,0.186026622,5.03589E+11,1.34614E+11,46.61528561,0.398403918,1,0
MSKY.JK,2018Q2,Media,-1.258422416,-2.934896869,4.82162E+12,2.75619E+12,-105.5649419,1.753195217,1,0
MTDL.JK,2018Q2,Technology Hardware & Equipment,1.572968763,3.185549949,4.5336E+12,2.91573E+12,48.35680751,18.29203277,0,0
MTFN.JK,2018Q2,Investment Banking and Brokerage Services,1.589932722,114.5550272,8.15384E+11,7.62914E+11,-98.65894854,311.1742268,1,0
MTLA.JK,2018Q2,Real Estate Investment and Services Development,2.939594725,5.076851953,5.01233E+12,2.00077E+12,41.28635647,8.660774566,1,0
MTRA.JK,2018Q2,Construction and Materials,1.770476159,3.661412523,2.63083E+11,1.35689E+11,-86.43498447,-21.42879689,0,0
MTSM.JK,2018Q2,"Personal Care, Drug and Grocery Stores",-1.393863248,-1.637792705,79447577640,11972139570,-39.12150876,25.26883104,0,0
MYOH.JK,2018Q2,"Oil, Gas and Coal",5.383587608,7.285927533,1.92783E+12,4.51287E+11,83.80281024,50.93192532,0,0
MYOR.JK,2018Q2,Food Producers,1.720541997,3.570275896,1.65167E+13,9.20204E+12,20.34010947,22.46823537,0,0
NASA.JK,2018Q2,Real Estate Investment and Services Development,-0.229883213,-0.183691219,1.29526E+12,2.13817E+11,1553.033474,-19.05636217,1,0
NELY.JK,2018Q2,Industrial Transportation,2.900478316,3.191875453,4.34763E+11,43540699190,120.2980078,14.81617973,1,0
NIKL.JK,2018Q2,Industrial Metals and Mining,-1.302694087,-3.891559458,1.80572E+12,1.23091E+12,-25.83958942,14.02525442,1,0
NIPS.JK,2018Q2,Electronic and Electrical Equipment,2.216034803,5.865688137,1.54772E+12,1.00619E+12,-143.3338266,29.61172653,1,0
NIRO.JK,2018Q2,Real Estate Investment and Services Development,-0.185098285,-0.430539299,5.08133E+12,3.06989E+12,-757.4637185,12.05839023,1,0
NRCA.JK,2018Q2,Construction and Materials,0.541688054,1.027309885,2.14824E+12,1.16471E+12,63.21234128,-10.72241983,0,0
OASA.JK,2018Q2,Telecommunications Equipment,-0.076103951,-0.079225705,49452290600,429276570,-120.8790821,97.46791185,0,0
OMRE.JK,2018Q2,Real Estate Investment and Services Development,-0.366414802,-0.406158563,4.21123E+12,5.79974E+11,50.78341224,-19.36732592,1,0
PADI.JK,2018Q2,Investment Banking and Brokerage Services,6.990085398,7.448691381,5.38572E+11,46915311850,-135.5518043,-89.8188758,1,0
PALM.JK,2018Q2,Food Producers,0.050779002,0.094395295,2.88739E+12,1.30963E+12,-89.5589616,-21.40949445,0,0
PANR.JK,2018Q2,Travel and Leisure,-0.08701259,-1.545385904,2.53214E+12,1.98067E+12,-180.0071194,24.05424639,1,0
PANS.JK,2018Q2,Investment Banking and Brokerage Services,-1.061894494,-2.219139106,2.75152E+12,1.54415E+12,-133.7021586,-47.15526712,1,0
PBRX.JK,2018Q2,Personal Goods,0.648699047,1.99572147,8.77106E+12,4.67216E+12,4.392721923,16.68942803,1,0
PBSA.JK,2018Q2,Construction and Materials,3.313430632,4.097122208,6.75987E+11,1.53157E+11,-86.82825519,-40.74200818,0,0
PCAR.JK,2018Q2,Food Producers,-2.034021464,-2.746069113,1.28237E+11,33728055420,-200.460703,40.40293291,0,0
PDES.JK,2018Q2,Travel and Leisure,1.063621613,2.316386947,4.75311E+11,2.58061E+11,-78.17373307,9.433371983,1,0
PEGE.JK,2018Q2,Investment Banking and Brokerage Services,3.172610655,4.666655323,3.59712E+11,1.06367E+11,-582.4489607,351.5276198,1,0
PGAS.JK,2018Q2,"Gas, Water and Multi-utilities",1.607941097,2.727333981,9.26409E+13,4.4335E+13,18.12754328,57.4759258,0,0
PGLI.JK,2018Q2,Travel and Leisure,0.912290364,1.377897289,86015272880,23091071910,-1209.712821,-9.960752166,1,0
PICO.JK,2018Q2,General Industrials,0.780696857,2.002536105,7.23063E+11,4.45179E+11,-9.99273398,-4.763867741,1,0
PJAA.JK,2018Q2,Travel and Leisure,0.900413202,2.073310028,4.20458E+12,2.07742E+12,-14.69551081,2.522098749,1,0
PKPK.JK,2018Q2,"Oil, Gas and Coal",0.490606419,1.127418517,1.34725E+11,78047730000,-74.93255235,-49.54234923,0,0
PLIN.JK,2018Q2,Travel and Leisure,0.88489824,4.367293862,4.92007E+12,3.73146E+12,-3.236208166,-3.145098449,1,0
PORT.JK,2018Q2,Industrial Transportation,-3.351848449,-7.051689406,2.04131E+12,9.59763E+11,-5.250557208,-40.65700611,1,0
POWR.JK,2018Q2,Electricity,1.331182949,2.704276535,1.84984E+13,9.16355E+12,3.059823618,4.057933945,1,0
PPRO.JK,2018Q2,Real Estate Investment and Services Development,0.619298142,1.739079874,1.41972E+13,8.6041E+12,6.189371559,11.25154836,1,0
PRAS.JK,2018Q2,Industrial Metals and Mining,0.230266535,0.490767095,1.72981E+12,8.93527E+11,47.62237332,29.26030389,1,0
PRDA.JK,2018Q2,Medical Equipment and Services,1.53708903,2.011246979,1.80343E+12,3.75771E+11,333.6464988,4.43011874,0,0
PSAB.JK,2018Q2,Travel and Leisure,0.094970504,0.131331473,1.32041E+13,8.58308E+12,42.93543891,-18.9857285,1,0
PSKT.JK,2018Q2,Travel and Leisure,-1.906050444,-2.154573051,4.69636E+11,53726049960,-2.81549614,10.66196017,1,0
PTBA.JK,2018Q2,"Oil, Gas and Coal",5.570261095,8.728680712,2.06347E+13,8.70436E+12,66.86281487,8.056407021,0,0
PTIS.JK,2018Q2,General Industrials,0.165039691,0.403594529,5.71164E+11,3.38141E+11,-260.5217143,25.36753147,1,0
PTPP.JK,2018Q2,Construction and Materials,0.996427267,2.786163807,4.4055E+13,3.24225E+13,2.177985369,11.80260101,0,0
PTRO.JK,2018Q2,"Oil, Gas and Coal",1.144089465,3.062965982,7.06121E+12,4.55787E+12,350.8720383,35.88230692,0,0
PTSN.JK,2018Q2,Electronic and Electrical Equipment,1.631284752,3.309754228,1.99451E+12,1.23676E+12,174.1777132,121.6280054,1,0
PTSP.JK,2018Q2,Travel and Leisure,3.143763535,5.858940337,3.15814E+11,1.73104E+11,103.2538192,17.60818322,1,0
PWON.JK,2018Q2,Real Estate Investment and Services Development,2.643941706,5.139232073,2.44702E+13,1.29895E+13,70.02513077,9.990259885,1,0
PYFA.JK,2018Q2,Pharmaceuticals and Biotechnology,0.038208707,0.063607404,1.84797E+11,72709634490,9.081478519,6.074573135,0,0
RALS.JK,2018Q2,Retailers,8.605238791,13.05914425,6.10542E+12,2.39507E+12,33.20922826,2.483727175,1,0
RANC.JK,2018Q2,"Personal Care, Drug and Grocery Stores",1.397767498,2.462648494,8.32533E+11,3.61262E+11,-10.16659276,5.786450571,0,0
RBMS.JK,2018Q2,Real Estate Investment and Services Development,-0.939462858,-1.255279917,5.62696E+11,26585701760,-730.6366345,2644.052577,1,0
RELI.JK,2018Q2,Investment Banking and Brokerage Services,0.08385582,0.106827357,6.07232E+11,1.26904E+11,-177.2861786,84.87787876,1,0
RIGS.JK,2018Q2,Industrial Transportation,-10.87452302,-16.4655811,1.10222E+12,3.9946E+11,-72.35231117,19.39479512,1,0
RIMO.JK,2018Q2,Retailers,-0.402058228,-0.468506863,4.79471E+12,1.00578E+11,2410.214263,15335.84315,1,0
RMBA.JK,2018Q2,Tobacco,-1.810341226,-2.870518625,1.38004E+13,5.15993E+12,1760.180162,9.557155611,1,0
RODA.JK,2018Q2,Real Estate Investment and Services Development,-0.129706286,-0.181820792,3.56957E+12,1.12292E+12,-90.93938615,4.020441402,1,0
ROTI.JK,2018Q2,Food Producers,-0.019267711,0.39116299,4.18116E+12,1.40195E+12,-86.48064285,6.184949961,0,0
RUIS.JK,2018Q2,"Oil, Gas and Coal",0.512643085,1.321388072,9.8796E+11,6.16499E+11,2.645528418,10.75442499,0,0
SAME.JK,2018Q2,Health Care Providers,1.4891836,2.485984026,1.82278E+12,7.42812E+11,22.68850639,19.4006229,0,0
SCCO.JK,2018Q2,Electronic and Electrical Equipment,0.594178314,0.890254903,4.01674E+12,1.47386E+12,13.00451629,2.833327477,1,0
