Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH,Treated,After,Balanced
DSFI.JK,2019Q2,Food Producers,0.857481994,1.822630464,4.02148E+11,2.09831E+11,3202905540,143.2644797,-13.24228776,0,1,TRUE
DSSA.JK,2019Q2,Electricity,0.236385259,0.390627118,5.36735E+13,3.04134E+13,5.66672E+11,358.4523652,-15.68201055,1,1,TRUE
DUTI.JK,2019Q2,Real Estate Investment and Services Development,2.070969739,3.011429538,1.30082E+13,5.05771E+12,2.49973E+11,-12.32114152,28.52094588,1,1,TRUE
DVLA.JK,2019Q2,Pharmaceuticals and Biotechnology,1.67664971,2.426963774,1.82802E+12,5.34817E+11,87435076000,121.6784609,-10.26224382,0,1,TRUE
EKAD.JK,2019Q2,Chemicals,1.294645358,1.413032011,8.48704E+11,1.29624E+11,1721786770,-55.88737405,-12.14548693,0,1,TRUE
EPMT.JK,2019Q2,Pharmaceuticals and Biotechnology,2.183974358,3.089941089,7.97732E+12,2.11177E+12,1.75794E+11,39.71588019,15.43383136,0,1,TRUE
ERAA.JK,2019Q2,Retailers,0.579315559,1.317903389,1.11401E+13,6.49839E+12,21334556000,7.125295764,16.5842001,1,1,TRUE
FAST.JK,2019Q2,Travel and Leisure,3.353675404,6.831680641,3.25282E+12,1.59626E+12,18141613000,-60.95558998,20.20942534,1,1,TRUE
FIRE.JK,2019Q2,Retailers,1.456623068,2.474851056,5.58058E+11,2.41657E+11,822734970,-80.41644358,11.79613893,1,1,TRUE
FMII.JK,2019Q2,Personal Goods,-0.529530775,-0.774921605,9.19264E+11,2.9738E+11,10994395560,438.5328942,-27.94196597,1,1,TRUE
GGRM.JK,2019Q2,Tobacco,2.909721231,4.19077376,6.67001E+13,2.22885E+13,1.72618E+12,-20.75937689,1.342291948,1,1,TRUE
GMTD.JK,2019Q2,Real Estate Investment and Services Development,0.96104051,1.528229316,1.23068E+12,4.48801E+11,11937380750,43.26630189,6.722385467,1,1,TRUE
