Stocks;Period;ROA;REV;TA;DER;IDX_IC;DiD_Period;DiD_Treatment;Ln_REV;Ln_Assets;ROA_perc;DER_perc
ANDI;2020Q2;0.0092279780;86288884040;510419241060;0.7136362176;IDXNONCYC;1;0;25.1809666207;26.9584982663;0.9227977990;71.3636217620
ANJT;2019Q2;-0.0069032921;432958511250;8622599046250;0.5044939544;IDXNONCYC;0;0;26.7939077434;29.7854076686;-0.6903292090;50.4493954390
ANJT;2020Q2;-0.0064923174;508533369600;8773682010200;0.5070266509;IDXNONCYC;1;0;26.9547966739;29.8027776757;-0.6492317440;50.7026650880
ANTM;2019Q2;0.0181635295;8207075932000;33566765371000;0.5388095307;IDXBASIC;0;0;29.7360178166;31.1445575675;1.8163529482;53.8809530670
ANTM;2020Q2;0.0167820165;4023564555000;30033248781000;0.4552683031;IDXBASIC;1;0;29.0231893309;31.0333261766;1.6782016493;45.5268303110
APEX;2019Q2;-0.0256953797;319147312500;7092703770000;5.7214224215;IDXENERGY;0;1;26.4889186278;29.5900877336;-2.5695379725;572.1422421490
APEX;2020Q2;-0.0064943210;247685605000;6966617551200;7.2610704137;IDXENERGY;1;1;26.2354260571;29.5721509361;-0.6494321030;726.1070413690
APIC;2019Q2;0.0330724325;180599379060;2896589814280;0.2686549436;IDXFINANCE;0;1;25.9195470397;28.6945552349;3.3072432490;26.8654943590
APIC;2020Q2;0.0199471810;643708219260;3652947899750;0.2996952081;IDXFINANCE;1;1;27.1905113847;28.9265556013;1.9947181032;29.9695208090
APII;2019Q2;0.0067007348;54665533760;460513852940;0.4057895172;IDXINDUST;0;1;24.7244992520;26.8556087746;0.6700734790;40.5789517230
APII;2020Q2;0.0126349885;56008363170;506048861390;0.4068268555;IDXINDUST;1;1;24.7487668589;26.9498990656;1.2634988540;40.6826855490
APLI;2019Q2;-0.0156961502;124004157510;503177499110;0.9729132460;IDXBASIC;0;0;25.5435809303;26.9442088257;-1.5696150170;97.2913245970
APLI;2020Q2;0.0062254931;101930921310;419264529450;0.6935675456;IDXBASIC;1;0;25.3475611787;26.7617678929;0.6225493090;69.3567545550
ARII;2019Q2;-0.0086881057;164751875000;5032184375000;6.8636392425;IDXENERGY;0;1;25.8277063911;29.2468752752;-0.8688105690;686.3639242510
ARII;2020Q2;-0.0482323267;212128040000;5051653760000;2.2706778607;IDXENERGY;1;1;26.0804558916;29.2507367828;-4.8232326730;227.0677860700
ARMY;2019Q2;0.0014449125;13619968790;1641913647030;0.0232637502;IDXPROPERT;0;0;23.3348028462;28.1268835355;0.1444912547;2.3263750210
ARMY;2020Q2;0.0475231677;3761413810;1855002960140;0.1233848619;IDXPROPERT;1;0;22.0480607370;28.2489074077;4.7523167654;12.3384861930
ARNA;2019Q2;-0.0013747751;485540912400;1634687672230;0.0210168496;IDXINDUST;0;1;26.9085293897;28.1224728759;-0.1374775050;2.1016849590
ARNA;2020Q2;0.0071059445;412064592170;1715197162410;0.0589522506;IDXINDUST;1;1;26.7444459511;28.1705491534;0.7105944480;5.8952250560
ARTI;2019Q2;0.0011212928;45456174820;2722592932410;0.4796470734;IDXENERGY;0;1;24.5400145080;28.6326058261;0.1121292830;47.9647073430
ARTI;2020Q2;0.0062238145;29721262190;1785484025750;0.6001908875;IDXENERGY;1;1;24.1151285253;28.2107106573;0.6223814514;60.0190887450
ASBI;2019Q2;-0.0255268372;65402456000;845468437000;0.0487593200;IDXFINANCE;0;1;24.9038256482;27.4631566740;-2.5526837220;4.8759319980
ASBI;2020Q2;0.0072736448;73583001000;895083544000;0.0392701535;IDXFINANCE;1;1;25.0216798713;27.5201828961;0.7273644840;3.9270153530
ASDM;2019Q2;0.0046737818;57779026000;1473361458000;0.0429413408;IDXFINANCE;0;1;24.7798916748;28.0185676123;0.4673781760;4.2941340790
ASDM;2020Q2;0.0054511223;39452493000;1341805883000;0.0460211557;IDXFINANCE;1;1;24.3983630762;27.9250374965;0.5451122300;4.6021155650
ASGR;2019Q2;0.0118230814;827530000000;2286445000000;0.0345960672;IDXINDUST;0;1;27.4417111973;28.4580193255;1.1823081350;3.4596067170
ASGR;2020Q2;-0.0276950330;742608000000;2596901000000;0.1760045120;IDXINDUST;1;1;27.3334341516;28.5853399270;-2.7695032972;17.6004512030
