Stocks;Period;ROA;REV;TA;DER;IDX_IC;DiD_Period;DiD_Treatment;Ln_REV;Ln_Assets;ROA_perc;DER_perc
BYAN;2020Q2;0.0493500553;5238688410800;19667092374600;0.6707355087;IDXENERGY;1;1;29.2870922796;30.6099679171;4.9350055300;67.0735508660
CAKK;2019Q2;0.0025766972;63097614170;318026517540;0.0510902136;IDXINDUST;0;1;24.8679487955;26.4854006047;0.2576697160;5.1090213610
CAKK;2020Q2;0.0956742064;27605778110;307011260450;0.1735309294;IDXINDUST;1;1;24.0412909396;26.4501502629;9.5674206430;17.3530929421
CARS;2019Q2;0.0209875076;2105445803180;9149124651840;4.1437118238;IDXCYCLIC;0;1;28.3755483436;29.8446793242;2.0987507590;414.3711823830
CARS;2020Q2;0.0005245903;1949969107110;7771387262640;3.5434694387;IDXCYCLIC;1;1;28.2988346459;29.6814698053;0.0524590330;354.3469438690
CENT;2019Q2;0.0003231877;201604000000;5511566000000;0.6485742918;IDXINFRA;0;1;26.0295712142;29.3378699092;0.0323187735;64.8574291780
CENT;2020Q2;-0.0021530538;287570000000;8028755000000;1.5309567588;IDXINFRA;1;1;26.3847321458;29.7140505883;-0.2153053820;153.0956758751
CFIN;2019Q2;0.0002412106;539428894000;12143223223000;1.6077190037;IDXFINANCE;0;1;27.0137768131;30.1277923707;0.0241210627;160.7719003650
CFIN;2020Q2;-0.0072815223;422226220000;11155216433000;1.2570691284;IDXFINANCE;1;1;26.7688070737;30.0429283460;-0.7281522300;125.7069128430
CINT;2019Q2;-0.0012153828;78214154190;481151834510;0.1047050263;IDXCYCLIC;0;1;25.0827164680;26.8994487215;-0.1215382820;10.4705026290
CINT;2020Q2;-0.0089014023;65322195540;517640079040;0.1535428966;IDXCYCLIC;1;1;24.9025977165;26.9725460096;-0.8901402258;15.3542896620
CITA;2019Q2;0.0011070137;894499496610;3431224284200;0.7083041544;IDXBASIC;0;0;27.5195301771;28.8639382476;0.1107013688;70.8304154370
CITA;2020Q2;0.0082645630;1276211653510;4844772165650;0.1272100431;IDXBASIC;1;0;27.8749171598;29.2089213355;0.8264563048;12.7210043080
CLAY;2019Q2;0.0018963515;37659493940;680873398780;1.8631649826;IDXCYCLIC;0;1;24.3518509225;27.2466422209;0.1896351480;186.3164982640
CLAY;2020Q2;0.0334814423;32321582040;649745790600;1.9257584093;IDXCYCLIC;1;1;24.1990010187;27.1998470320;3.3481442310;192.5758409310
CLEO;2019Q2;0.0198839235;268437666140;1066187702500;0.2468878361;IDXNONCYC;0;0;26.3158845680;27.6951105073;1.9883923520;24.6887836080
CLEO;2020Q2;0.0019715417;222418583410;1339700022810;0.4284841446;IDXNONCYC;1;0;26.1278269543;27.9234668413;0.1971541650;42.8484144600
CLPI;2019Q2;0.0021086603;210084659030;679923835860;0.2333992864;IDXBASIC;0;0;26.0707764247;27.2452466228;0.2108660274;23.3399286390
CLPI;2020Q2;0.0295356895;208503647920;712008839090;0.2254116294;IDXBASIC;1;0;26.0632223741;27.2913561627;2.9535689530;22.5411629350
CMNP;2019Q2;0.0025619067;1611225527010;13448976856080;0.7803181490;IDXINFRA;0;1;28.1080162023;30.2299241489;0.2561906744;78.0318149030
CMNP;2020Q2;0.0043923947;1132191652150;15453514716140;0.8455359068;IDXINFRA;1;1;27.7551763854;30.3688575831;0.4392394660;84.5535906820
COCO;2019Q2;0.0005251570;42505156680;162749739570;1.9199329295;IDXNONCYC;0;0;24.4728912392;25.8154795178;0.0525156957;191.9932929460
COCO;2020Q2;0.0000788663;65642924010;250442587740;0.8301448288;IDXNONCYC;1;0;24.9074956483;26.2464955405;0.0078866310;83.0144828820
COWL;2019Q2;-0.0081197677;118159986710;3578766164670;1.6880663102;IDXPROPERT;0;0;25.4953053627;28.9060392102;-0.8119767680;168.8066310240
COWL;2020Q2;-0.0058588463;76431839300;3733012257460;2.1431042772;IDXPROPERT;1;0;25.0596651911;28.9482365994;-0.5858846290;214.3104277160
CPIN;2019Q2;-0.0158385503;14572508000000;27645118000000;0.2296600591;IDXNONCYC;0;0;30.3101578558;30.9504702641;-1.5838550280;22.9660059080
CPIN;2020Q2;-0.0048678209;14735128000000;29353041000000;0.2397132884;IDXNONCYC;1;0;30.3212554189;31.0104172684;-0.4867820890;23.9713288350
CPRO;2019Q2;-0.0132114094;1807436000000;6572440000000;5.8149323716;IDXNONCYC;0;0;28.2229303823;29.5139062646;-1.3211409370;581.4932371560
CPRO;2020Q2;0.0093420617;1665620000000;6000259000000;12.0334932320;IDXNONCYC;1;0;28.1412185424;29.4228237509;0.9342061730;1203.3493232040
CSAP;2019Q2;-0.0300794567;2867098589000;5918589777000;0.8812351351;IDXCYCLIC;0;1;28.6843216898;29.4091193231;-3.0079456680;88.1235135060
CSAP;2020Q2;0.0000355737;3106329089000;7086047967000;0.9812491361;IDXCYCLIC;1;1;28.7644627877;29.5891488916;0.0035573710;98.1249136090
CSIS;2019Q2;0.0172959720;14060339600;404491423670;0.7583553439;IDXPROPERT;0;0;23.3666238767;26.7258963709;1.7295972037;75.8355343910
CSIS;2020Q2;0.0003755286;41653464370;472484542690;0.1343771765;IDXPROPERT;1;0;24.4526503803;26.8812708695;0.0375528580;13.4377176450
CTBN;2019Q2;-0.0118537791;384352832500;2300176161250;0.0234515772;IDXBASIC;0;0;26.6748268023;28.4640068278;-1.1853779060;2.3451577150
CTBN;2020Q2;-0.0041673191;544485483400;1974491973000;0.0237474018;IDXBASIC;1;0;27.0231071185;28.3113322523;-0.4167319070;2.3747401840
CTRA;2019Q2;-0.0075695274;1498686000000;35076644000000;0.6064851147;IDXPROPERT;0;0;28.0356098401;31.1885566118;-0.7569527440;60.6485114700
CTRA;2020Q2;0.0023474301;1294625000000;37884189000000;0.6238704620;IDXPROPERT;1;0;27.8892421939;31.2655549642;0.2347430130;62.3870462020
CTTH;2019Q2;-0.0178772884;72714945600;732375700320;0.8773580964;IDXINDUST;0;1;25.0098127794;27.3195594710;-1.7877288397;87.7358096440
CTTH;2020Q2;0.0003889910;25875324050;742302791890;0.9956091587;IDXINDUST;1;1;23.9765556121;27.3330230722;0.0388991040;99.5609158740
DART;2019Q2;0.0052593268;103750627000;7015767682000;0.8603219090;IDXPROPERT;0;0;25.3652560394;29.5791812579;0.5259326810;86.0321909010
DART;2020Q2;-0.0015397317;104543585000;6758737654000;0.9738656768;IDXPROPERT;1;0;25.3728699027;29.5418572510;-0.1539731657;97.3865676760
DAYA;2019Q2;-0.0115613616;268680071000;619049695000;0.9822697056;IDXNONCYC;0;0;26.3167871816;27.1514513891;-1.1561361590;98.2269705600
DAYA;2020Q2;0.0414076732;158386180000;689702206000;1.7187052516;IDXNONCYC;1;0;25.7883020650;27.2595257559;4.1407673220;171.8705251630
DEWA;2019Q2;0.0035531963;1253917306250;5967039931250;0.0785722950;IDXENERGY;0;1;27.8572936120;29.4172720965;0.3553196348;7.8572294980
DEWA;2020Q2;0.0127977162;1481277070000;7627318168000;0.5235852750;IDXENERGY;1;1;28.0239257168;29.6627574142;1.2797716200;52.3585274960
DFAM;2019Q2;0.0267876673;35085599660;334039199080;2.6128819248;IDXCYCLIC;0;1;24.2810566171;26.5345241856;2.6787667340;261.2881924810
DFAM;2020Q2;-0.0627521966;30003989530;324806144620;1.9150555364;IDXCYCLIC;1;1;24.1245961941;26.5064943632;-6.2752196555;191.5055536390
DILD;2019Q2;0.0019826868;887619283360;14116380888460;0.8641569271;IDXPROPERT;0;0;27.5118087531;30.2783570041;0.1982686810;86.4156927110
DILD;2020Q2;0.0075258810;830559696070;15927785950920;0.9644831433;IDXPROPERT;1;0;27.4453656431;30.3990862441;0.7525880950;96.4483143280
DKFT;2019Q2;0.0014246256;165218713830;2656465232390;0.9869349576;IDXBASIC;0;0;25.8305359715;28.6080174950;0.1424625590;98.6934957610
DKFT;2020Q2;0.0134894244;80380346280;2655274236530;1.0476811728;IDXBASIC;1;0;25.1100355340;28.6075690559;1.3489424350;104.7681172830
DNET;2019Q2;0.0087603433;34788147940;14527983724290;0.5910907020;IDXFINANCE;0;1;24.2725425893;30.3070978175;0.8760343279;59.1090702040
DNET;2020Q2;0.0016835926;101750772660;15484342922490;0.6304401360;IDXFINANCE;1;1;25.3457922550;30.3708504953;0.1683592610;63.0440136040
DOID;2019Q2;0.0151502503;3664832793750;17021361456250;2.6589922099;IDXENERGY;0;1;28.9298038278;30.4654902274;1.5150250276;265.8992209880
DOID;2020Q2;0.0053726710;2657647183200;16404927317200;2.5037381301;IDXENERGY;1;1;28.6084623297;30.4286028518;0.5372671005;250.3738130090
DSFI;2019Q2;0.0290558243;162476820610;395830627040;0.5924267425;IDXNONCYC;0;0;25.8138011861;26.7042522472;2.9055824310;59.2426742470
DSFI;2020Q2;0.0286971818;104923810890;396237397090;0.4661370834;IDXNONCYC;1;0;25.3765003131;26.7052793562;2.8697181760;46.6137083350
DSNG;2019Q2;0.0004616829;1211357000000;11295607000000;1.7882408185;IDXNONCYC;0;0;27.8227623347;30.0554350050;0.0461682880;178.8240818530
DSNG;2020Q2;-0.0094619030;1560110000000;11709863000000;1.6644332907;IDXNONCYC;1;0;28.0757774475;30.0914525941;-0.9461902971;166.4433290670
DSSA;2019Q2;0.0020174567;6403424428050;50907438176400;0.8698499630;IDXENERGY;0;1;29.4878540301;31.5610301619;0.2017456700;86.9849962970
DSSA;2020Q2;0.0074176149;6790364840000;57973394837000;0.9676511202;IDXENERGY;1;1;29.5465257880;31.6910053115;0.7417614920;96.7651120170
DUTI;2019Q2;0.0050392026;661922808630;13008192571630;0.0456868438;IDXPROPERT;0;0;27.2184147828;30.1966004727;0.5039202580;4.5686843830
DUTI;2020Q2;0.0209985921;332564860330;13848012503290;0.0003849585;IDXPROPERT;1;0;26.5301007467;30.2591628367;2.0998592140;0.0384958480
DVLA;2019Q2;0.0114186001;481636705000;1817921988000;0.0356359129;IDXHEALTH;0;1;26.9004559427;28.2287151999;1.1418600056;3.5635912930
DVLA;2020Q2;0.0390786012;483529555000;1933878892000;0.0028051144;IDXHEALTH;1;1;26.9043782772;28.2905488905;3.9078601190;0.2805114360
DYAN;2019Q2;0.0245796718;128887024100;1187493253560;0.1917773795;IDXINDUST;0;1;25.5822020754;27.8028656916;2.4579671750;19.1777379520
DYAN;2020Q2;0.0173439955;123248236340;1197627425570;0.1937477328;IDXINDUST;1;1;25.5374663402;27.8113635702;1.7343995480;19.3747732840
ECII;2019Q2;-0.0091313299;549311058910;1751622687180;0.0029371619;IDXCYCLIC;0;1;27.0319307098;28.1915637241;-0.9131329927;0.2937161880
ECII;2020Q2;-0.0253661786;415029198010;1845324374750;0.0034935769;IDXCYCLIC;1;1;26.7516147114;28.2436761908;-2.5366178630;0.3493576860
EKAD;2019Q2;0.0054084224;173753411100;848703528680;0.0520079684;IDXBASIC;0;0;25.8809029534;27.4669757617;0.5408422411;5.2007968440
EKAD;2020Q2;0.0260792354;144796331120;983508727500;0.0220833703;IDXBASIC;1;0;25.6985939790;27.6143923487;2.6079235380;2.2083370290
ELSA;2019Q2;-0.0053814756;1869058000000;6068089000000;0.3408287388;IDXENERGY;0;1;28.2564556766;29.4340648444;-0.5381475550;34.0828738770
ELSA;2020Q2;0.0261226081;1840672000000;7022422000000;0.3681548754;IDXENERGY;1;1;28.2411518383;29.5801292887;2.6122608100;36.8154875373
ELTY;2019Q2;0.0106051848;294850299770;13606180006240;0.1981213050;IDXPROPERT;0;0;26.4097336061;30.2415452177;1.0605184753;19.8121304990
ELTY;2020Q2;0.0160555682;248593573990;12329520357730;0.2026181275;IDXPROPERT;1;0;26.2390851669;30.1430175319;1.6055568230;20.2618127539
EMTK;2019Q2;0.0070041447;2757942701000;17921927309000;0.0583421486;IDXINDUST;0;1;28.6455061195;30.5170460684;0.7004144650;5.8342148550
EMTK;2020Q2;0.1161525646;2702508259000;17336493116000;0.3539469804;IDXINDUST;1;1;28.6252014425;30.4838348244;11.6152564603;35.3946980430
ENRG;2019Q2;-0.0024191483;748240283700;10800667031700;1.3100204363;IDXENERGY;0;1;27.3409899982;30.0106290103;-0.2419148298;131.0020436280
ENRG;2020Q2;0.0275851129;1298431594000;10810998146000;0.6759147368;IDXENERGY;1;1;27.8921781859;30.0115850787;2.7585112880;67.5914736800
EPMT;2019Q2;0.0101616842;5896954977650;7977316930700;0.0080146869;IDXNONCYC;0;0;29.4054572281;29.7076232466;1.0161684151;0.8014686850
EPMT;2020Q2;0.0074300884;5927589679760;8353666731890;0.0141950144;IDXNONCYC;1;0;29.4106387842;29.7537216880;0.7430088380;1.4195014370
ERAA;2019Q2;0.0004783055;8305191483000;11140089595000;0.6601893407;IDXCYCLIC;0;1;29.7479019151;30.0415713930;0.0478305490;66.0189340700
ERAA;2020Q2;-0.0240984543;6656222916000;9063284429000;0.2369643736;IDXCYCLIC;1;1;29.5265733099;29.8352526900;-2.4098454250;23.6964373610
ERTX;2019Q2;0.0038829803;321057575000;899671593750;1.3104765651;IDXCYCLIC;0;1;26.4948863054;27.5252956378;0.3882980330;131.0476565140
ERTX;2020Q2;0.0214314752;338218956800;991350823600;1.3302140903;IDXCYCLIC;1;1;26.5469593239;27.6223343183;2.1431475155;133.0214090320
ESSA;2019Q2;0.0015183602;830880242500;13161845206250;2.6014480833;IDXBASIC;0;0;27.4457515089;30.2083432452;0.1518360170;260.1448083340
ESSA;2020Q2;0.0207747597;465719695600;12147318979000;2.6622763938;IDXBASIC;1;0;26.8668497785;30.1281296012;2.0774759740;266.2276393830
ESTI;2019Q2;-0.0029119000;110010215250;898564730700;1.4119513469;IDXCYCLIC;0;1;25.4238390643;27.5240645836;-0.2911900000;141.1951346900
ESTI;2020Q2;-0.0209811331;128347667000;942049209000;1.8838365417;IDXCYCLIC;1;1;25.5780085672;27.5713233490;-2.0981133140;188.3836541680
EXCL;2019Q2;-0.0001024746;6289605000000;58378629000000;1.3148961406;IDXINFRA;0;1;29.4699193866;31.6979709970;-0.0102474580;131.4896140610
EXCL;2020Q2;-0.0106325152;6585009000000;69654912000000;1.5804157198;IDXINFRA;1;1;29.5158168179;31.8745743377;-1.0632515230;158.0415719790
FAST;2019Q2;0.0008583353;1577687983000;2989693223000;0.1353061280;IDXCYCLIC;0;1;28.0869815894;28.7261918971;0.0858335250;13.5306127970
FAST;2020Q2;-0.0079292474;1693262309000;3404685424000;0.1293312919;IDXCYCLIC;1;1;28.1576781445;28.8561736648;-0.7929247380;12.9331291900
FASW;2019Q2;0.0005106849;1935669987050;10864591258330;0.9889618416;IDXBASIC;0;0;28.2914746290;30.0165301089;0.0510684897;98.8961841620
FASW;2020Q2;-0.0020765272;1749789937460;11091179164160;1.1095854598;IDXBASIC;1;0;28.1905168609;30.0371712384;-0.2076527170;110.9585459830
FIRE;2019Q2;0.0003476159;226064751390;565666559870;0.4681021396;IDXENERGY;0;1;26.1440873058;27.0612706247;0.0347615900;46.8102139600
FIRE;2020Q2;-0.0582804484;275444982740;585808964020;0.4517616883;IDXENERGY;1;1;26.3416537459;27.0962595734;-5.8280448430;45.1761688270
FISH;2019Q2;0.0011978135;3585207455700;5205696367950;1.0688852678;IDXNONCYC;0;0;28.9078374560;29.2807745973;0.1197813475;106.8885267760
FISH;2020Q2;0.0049666821;4225016887000;6272719546000;1.0001683854;IDXNONCYC;1;0;29.0720443737;29.4672311159;0.4966682100;100.0168385360
FMII;2019Q2;0.0005321820;9894611820;940955391340;0.3375012498;IDXPROPERT;0;0;23.0152561853;27.5701615698;0.0532182018;33.7501249810
FMII;2020Q2;-0.0080021602;28957621920;891866986270;0.3234847814;IDXPROPERT;1;0;24.0890992851;27.5165828399;-0.8002160220;32.3484781390
FOOD;2019Q2;0.0031497309;30101899320;126697833400;0.6492322494;IDXNONCYC;0;0;24.1278541070;25.5650708239;0.3149730910;64.9232249350
FOOD;2020Q2;0.0233247197;35092847460;118586648950;0.2998369120;IDXNONCYC;1;0;24.2812631706;25.4989097451;2.3324719710;29.9836912010
FORZ;2019Q2;-0.0123876135;18273540560;708089333730;0.9784482716;IDXPROPERT;0;0;23.6287199795;27.2858361003;-1.2387613498;97.8448271590
FORZ;2020Q2;0.0289366676;50000000000;725628430820;0.4741086119;IDXPROPERT;1;0;24.6352888424;27.3103039175;2.8936667637;47.4108611890
FREN;2019Q2;0.0392149221;1410550543790;25439139578510;0.7068367400;IDXINFRA;0;1;27.9750012007;30.8673100322;3.9214922050;70.6836739957
FREN;2020Q2;0.0250217288;1995844457540;33088999644450;1.3937450073;IDXINFRA;1;1;28.3220883637;31.1302220060;2.5021728830;139.3745007259
GAMA;2019Q2;0.0033995893;8830212110;1372352219090;0.2007774150;IDXPROPERT;0;0;22.9014448728;27.9475473317;0.3399589270;20.0777415020
GAMA;2020Q2;-0.0001454779;28117652430;1388656626700;0.2000908674;IDXPROPERT;1;0;24.0596634164;27.9593579401;-0.0145477941;20.0090867420
GDYR;2019Q2;0.0460707964;452744952500;1788765563750;0.4395604121;IDXCYCLIC;0;1;26.8385947851;28.2125468687;4.6070796440;43.9560412120
GDYR;2020Q2;0.0182003994;182529923000;1668266932200;0.6695135082;IDXCYCLIC;1;1;25.9301799582;28.1428064384;1.8200399400;66.9513508190
GEMA;2019Q2;0.0316472536;282511486680;1063735052240;0.8100711194;IDXCYCLIC;0;1;26.3669850475;27.6928074648;3.1647253630;81.0071119410
GEMA;2020Q2;0.0292270958;259757472700;919869764340;0.7014417964;IDXCYCLIC;1;1;26.2830142353;27.5474979365;2.9227095840;70.1441796370
GEMS;2019Q2;-0.0092654003;3143082005000;9923500811250;0.4139643450;IDXENERGY;0;1;28.7762249647;29.9259268793;-0.9265400250;41.3964344980
GEMS;2020Q2;-0.0371114850;3621796044000;11270042650200;0.3149143265;IDXENERGY;1;1;28.9179911635;30.0531692284;-3.7111485040;31.4914326540
GGRM;2019Q2;0.0402495026;26548246000000;66700099000000;0.0894663556;IDXNONCYC;0;0;30.9099847974;31.8312275531;4.0249502610;8.9466355640
GGRM;2020Q2;0.0283183391;26393663000000;79158868000000;0.1550033556;IDXNONCYC;1;0;30.9041450594;32.0024779364;2.8318339140;15.5003355620
GJTL;2019Q2;0.0295351452;4038010000000;20004597000000;1.2602383107;IDXCYCLIC;0;1;29.0267731123;30.6269832131;2.9535145175;126.0238310700
GJTL;2020Q2;0.0232682415;3797482000000;20450117000000;1.3418688429;IDXCYCLIC;1;1;28.9653593314;30.6490097197;2.3268241510;134.1868842940
GMFI;2019Q2;-0.0300874765;1945227875000;10197976756250;1.0816300212;IDXINFRA;0;1;28.2964002455;29.9532104593;-3.0087476487;108.1630021210
GMFI;2020Q2;0.0272819187;2079422345200;10498699584800;1.1629094175;IDXINFRA;1;1;28.3631112524;29.9822725164;2.7281918690;116.2909417540
GMTD;2019Q2;0.0277296823;45553332890;1237114237100;0.0909070921;IDXPROPERT;0;0;24.5421496279;27.8438025552;2.7729682281;9.0907092140
GMTD;2020Q2;0.0171237668;39806307430;1107024821970;0.1017662551;IDXPROPERT;1;0;24.4072912148;27.7326971921;1.7123766770;10.1766255140
GOLL;2019Q2;0.0113300636;48937956770;2471198161230;1.9834070826;IDXNONCYC;0;0;24.6138191444;28.5357242345;1.1330063618;198.3407082560
GOLL;2020Q2;0.0008675677;6374490390;2595684229130;2.5370953312;IDXNONCYC;1;0;22.5755699860;28.5848712699;0.0867567700;253.7095331200
GOOD;2019Q2;0.0024612782;2284270043920;4619921948270;0.2882020974;IDXNONCYC;0;0;28.4570676336;29.1613989266;0.2461278150;28.8202097350
GOOD;2020Q2;0.0441425784;2245818606740;5517600647980;0.5163701369;IDXNONCYC;1;0;28.4400912062;29.3389642165;4.4142578403;51.6370136860
GPRA;2019Q2;0.0227683077;135434630460;1536453590420;0.2841583032;IDXPROPERT;0;0;25.6317549288;28.0604980133;2.2768307699;28.4158303210
GPRA;2020Q2;0.0309406061;94317995070;1705918986770;0.3287365390;IDXPROPERT;1;0;25.2699378363;28.1651250766;3.0940606064;32.8736538990
GSMF;2019Q2;0.0354131293;456189501000;4766337250000;0.3811976589;IDXFINANCE;0;1;26.8461741325;29.1925992537;3.5413129281;38.1197658870
GSMF;2020Q2;0.0255982482;397789398000;4938822000000;0.3463721006;IDXFINANCE;1;1;26.7091885514;29.2281479572;2.5598248208;34.6372100630
GWSA;2019Q2;-0.0063490370;23806454570;7490779238200;0.0626635413;IDXPROPERT;0;0;23.8932225813;29.6446939452;-0.6349036985;6.2663541260
GWSA;2020Q2;-0.0181292085;14012708360;7634022238480;0.0501879182;IDXPROPERT;1;0;23.3632304948;29.6636359833;-1.8129208540;5.0187918190
HDTX;2019Q2;0.0003624073;120495340890;586940667000;1.8290223957;IDXCYCLIC;0;1;25.5148769243;27.0981895733;0.0362407260;182.9022395700
HDTX;2020Q2;0.0062473409;3520843000;423791061000;1.9403235682;IDXCYCLIC;1;1;21.9819662865;26.7725063901;0.6247340930;194.0323568190
HEAL;2019Q2;-0.0065875651;901539000000;4315860000000;0.4364901667;IDXHEALTH;0;1;27.5273691399;29.0933177254;-0.6587565109;43.6490166700
HEAL;2020Q2;0.0071457125;983889000000;5212140000000;0.5681780997;IDXHEALTH;1;1;27.6147789228;29.2820116359;0.7145712460;56.8178099720
HELI;2019Q2;-0.0141849162;14591710000;179114937200;0.5839674728;IDXTRANS;0;0;23.4037193962;25.9112935440;-1.4184916160;58.3967472770
HELI;2020Q2;0.0040805228;7067270600;171454943790;0.3153488892;IDXTRANS;1;0;22.6787401886;25.8675863506;0.4080522760;31.5348889200
HEXA;2019Q2;0.0043250505;2072420126400;4929757725750;0.2417977638;IDXINDUST;0;1;28.3597381835;29.2263109599;0.4325050544;24.1797763830
HEXA;2020Q2;-0.0011930830;1695182233000;4336168217000;0.0101596081;IDXINDUST;1;1;28.1588113631;29.0980121747;-0.1193083000;1.0159608130
HITS;2019Q2;0.0014491535;314836491450;3103588437300;1.9245347358;IDXENERGY;0;1;26.4753192662;28.7635801184;0.1449153537;192.4534735760
HITS;2020Q2;0.0022243340;354564446000;3237588804000;1.1188190043;IDXENERGY;1;1;26.5941559605;28.8058499724;0.2224333970;111.8819004290
HMSP;2019Q2;0.0003569346;26914259000000;43112611000000;0.0129628528;IDXNONCYC;0;0;30.9236773364;31.3948366688;0.0356934593;1.2962852770
HMSP;2020Q2;0.0010097954;21044299000000;41904844000000;0.0130204508;IDXNONCYC;1;0;30.6776508080;31.3664225448;0.1009795430;1.3020450810
HOKI;2019Q2;0.0013835578;398624686480;801901901340;0.2678127136;IDXNONCYC;0;0;26.7112861758;27.4102521198;0.1383557797;26.7812713580
HOKI;2020Q2;-0.0199495565;450428381800;889054570890;0.3061888573;IDXNONCYC;1;0;26.8334649264;27.5134244552;-1.9949556514;30.6188857310
HOME;2019Q2;0.0639081263;7246572520;281193747620;0.2924804380;IDXCYCLIC;0;1;22.7037944382;26.3623097620;6.3908126300;29.2480438040
HOME;2020Q2;-0.0019909905;4849181000;2474783939540;0.1408333455;IDXCYCLIC;1;1;22.3020756617;28.5371742110;-0.1990990530;14.0833345460
HRTA;2019Q2;-0.0509498156;601779944980;1537031552480;0.3258333525;IDXCYCLIC;0;1;27.1231576755;28.0608741089;-5.0949815625;32.5833352520
HRTA;2020Q2;0.0004093255;834282503540;2311190054990;0.6506966904;IDXCYCLIC;1;1;27.4498379152;28.4687836831;0.0409325467;65.0696690400
IATA;2019Q2;0.0002167717;67165318750;983865825000;0.3187986313;IDXTRANS;0;0;24.9304228612;27.6147553680;0.0216771736;31.8798631290
IATA;2020Q2;0.0107608983;39090105200;848085905200;0.2080376989;IDXTRANS;1;0;24.3891352080;27.4662477709;1.0760898330;20.8037698940
IBST;2019Q2;0.0081565473;227163189110;7592125710760;0.3548261277;IDXINFRA;0;1;26.1489344909;29.6581327354;0.8156547290;35.4826127740
IBST;2020Q2;0.0037817934;292265359290;8962635320750;0.4054624153;IDXINFRA;1;1;26.4009279912;29.8240854203;0.3781793434;40.5462415310
ICBP;2019Q2;0.0007309055;11255645000000;36428781000000;0.0868446952;IDXNONCYC;0;0;30.0518908965;31.2263802650;0.0730905454;8.6844695180
ICBP;2020Q2;0.0095316623;12006604000000;42101501000000;0.0968011080;IDXNONCYC;1;0;30.1164779477;31.3711045092;0.9531662255;9.6801108030
ICON;2019Q2;-0.0208209144;36988033700;395969370640;0.0835326642;IDXINDUST;0;1;24.3338602838;26.7046026983;-2.0820914414;8.3532664190
ICON;2020Q2;0.0219095956;50073759700;369071617770;0.0073107360;IDXINDUST;1;1;24.6367629493;26.6342565483;2.1909595620;0.7310735990
IDPR;2019Q2;0.0025825398;251353528910;1922368401890;0.3636747964;IDXINFRA;0;1;26.2501262668;28.2845790844;0.2582539826;36.3674796400
IDPR;2020Q2;-0.0365442716;205254020990;1908254782320;0.3708660320;IDXINFRA;1;1;26.0475141758;28.2772102138;-3.6544271605;37.0866032030
IIKP;2019Q2;0.0010868021;3162442370;294827978370;0.0014436803;IDXCYCLIC;0;1;21.8746104679;26.4096578990;0.1086802050;0.1443680280
IIKP;2020Q2;0.0064284364;2874994540;380836275020;0.0003230863;IDXCYCLIC;1;1;21.7793166121;26.6656353954;0.6428436363;0.0323086270
IKAI;2019Q2;-0.0035923546;8765420000;1337016109000;0.4464500051;IDXCYCLIC;0;1;22.8940802720;27.9214614626;-0.3592354550;44.6450005140
IKAI;2020Q2;0.0154022838;27313797000;1357533090000;0.3498751240;IDXCYCLIC;1;1;24.0306577961;27.9366902641;1.5402283810;34.9875124030
IMAS;2019Q2;-0.0000218317;4983485985150;41044311290760;2.8401913997;IDXCYCLIC;0;1;29.2371507591;31.3456733622;-0.0021831730;284.0191399720
IMAS;2020Q2;0.0073530984;3880866343820;44698662588630;3.7188252393;IDXCYCLIC;1;1;28.9870795291;31.4309646974;0.7353098370;371.8825239330
IMPC;2019Q2;0.0025866759;324834632910;2399937185890;0.6558535384;IDXINDUST;0;1;26.5065820680;28.5064636804;0.2586675920;65.5853538360
IMPC;2020Q2;0.0344087356;355541712480;2638605191140;0.7000389209;IDXINDUST;1;1;26.5969084140;28.6012715568;3.4408735610;70.0038920910
INAF;2019Q2;0.0000615807;232546535380;1399847472100;1.0434664212;IDXHEALTH;0;1;26.1723561941;27.9673843981;0.0061580710;104.3466421210
INAF;2020Q2;0.0411975300;299132379330;1555305636110;1.0143605229;IDXHEALTH;1;1;26.4241520526;28.0726931928;4.1197530031;101.4360522940
INAI;2019Q2;-0.0164167649;279601106460;1388936750140;2.0449373197;IDXBASIC;0;0;26.3566298046;27.9595596424;-1.6416764930;204.4937319720
INAI;2020Q2;0.0111233298;329446578400;1278313122530;1.6699177804;IDXBASIC;1;0;26.5206800485;27.8765624517;1.1123329771;166.9917780350
INCF;2019Q2;0.0001961056;310787167600;534676677470;2.0672209910;IDXBASIC;0;0;26.4623741663;27.0049280600;0.0196105580;206.7220990990
INCF;2020Q2;0.0050407441;115476327820;467727877050;2.0400815758;IDXBASIC;1;0;25.4723313920;26.8711525045;0.5040744120;204.0081575820
INCI;2019Q2;-0.0260724004;92241274590;379469507670;0.0025612433;IDXBASIC;0;0;25.2476735310;26.6620400819;-2.6072400430;0.2561243260
INCI;2020Q2;0.0195844581;100497101980;441921762090;0.0032369988;IDXBASIC;1;0;25.3333947280;26.8143986945;1.9584458104;0.3236998768
INCO;2019Q2;-0.0444271529;2342235750000;29798467250000;0.0003287953;IDXBASIC;0;0;28.4821270379;31.0254780736;-4.4427152876;0.0328795310
INCO;2020Q2;0.0128246577;2633481240000;31724247540000;0.0001759558;IDXBASIC;1;0;28.5993277522;31.0881024110;1.2824657747;0.0175955810
INDF;2019Q2;0.1411943390;19169840000000;98091381000000;0.8096770427;IDXNONCYC;0;0;30.5843593266;32.2169206193;14.1194338950;80.9677042740
