Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH_YoY_in_percent,Treated,After_YoY
JSKY.JK,2020Q2,Alternative Energy,1.04156755,2,488917513250,265203686740,-30.44228084,-29.02133056,0,1
JSMR.JK,2020Q2,Industrial Transportation,-0.624067526,-3,102691223000000,83862229000000,-67.08955067,-58.10311505,1,1
JSPT.JK,2020Q2,Travel and Leisure,0.879116793,1,5381492453000,3281630804000,-173.6343022,-72.26741472,1,1
JTPE.JK,2020Q2,Industrial Support Services,0.828670696,1,1172598134370,454236594410,-55.51620824,-15.56794753,1,1
KAEF.JK,2020Q2,Pharmaceuticals and Biotechnology,0.208405442,0,17513999167000,10308568259000,47.65162944,-15.66304,0,1
KBLI.JK,2020Q2,Electronic and Electrical Equipment,-2.568843082,-3,2986677047000,790196251000,-108.6962249,-54.02222915,1,1
KBLM.JK,2020Q2,Electronic and Electrical Equipment,0.000744085,0,1156715579150,305670062220,-89.17867818,-23.26128754,1,1
KBLV.JK,2020Q2,Telecommunications Service Providers,4.653174497,17,7352927000000,5846083000000,-17575.58854,12.29355488,0,1
KBRI.JK,2020Q2,Industrial Materials,-0.051015332,0,1058927511760,909461714360,8.848778368,-93.69907147,1,1
KDSI.JK,2020Q2,Household Goods and Home Construction,0.864123163,2,1278707393200,649722937240,-44.23680235,-23.15450899,0,1
KIAS.JK,2020Q2,Construction and Materials,-2.630247297,-3,1054245736890,274131676940,-66.06313321,-72.45852645,0,1
KICI.JK,2020Q2,Household Goods and Home Construction,-0.354714952,-1,158618861790,73417903700,-349.8746882,-26.96556917,0,1
KIJA.JK,2020Q2,Real Estate Investment and Services Development,6.103331222,14,12276775046990,7627818691050,-1108.269914,158.5631682,1,1
KINO.JK,2020Q2,"Personal Care, Drug and Grocery Stores",1.159682972,2,5266005357050,2643486956540,18.42046831,-11.47179522,0,1
KIOS.JK,2020Q2,Software & Computer Services,-3.326942209,-8,245496880640,151024168220,-64.20079668,-58.62255453,1,1
KKGI.JK,2020Q2,"Oil, Gas and Coal",2.899113225,3,1720218056400,506667733000,-188.4845505,-35.79425668,0,1
KLBF.JK,2020Q2,Pharmaceuticals and Biotechnology,3.306642516,4,22091102524240,5749540441180,4.419210521,-0.073184827,0,1
KMTR.JK,2020Q2,Automobiles and Parts,3.17525077,8,4370394819860,2573193684690,69.69715558,-45.05749522,1,1
KOBX.JK,2020Q2,Industrial Transportation,-1.868171163,-8,1709199912800,1402512147000,-139.4419646,-22.83364996,1,1
KOIN.JK,2020Q2,Retailers,0.120795372,1,450738180210,487111327190,-117.6394731,-40.13127673,1,1
KONI.JK,2020Q2,Leisure Goods,9.712532987,144,109973617420,108803201200,-79.46548177,-53.83939117,1,1
KOPI.JK,2020Q2,"Oil, Gas and Coal",-2.05767404,-4,173941344080,83141247490,-40.39662135,-5.455040337,0,1
KPAS.JK,2020Q2,Medical Equipment and Services,-0.291586807,-1,251933488760,109997388220,2.756752775,-12.65904115,0,1
KPIG.JK,2020Q2,Real Estate Investment and Services Development,0.380867275,1,28881918270070,6156572399840,-26.4910259,-47.90349147,1,1
KRAH.JK,2020Q2,Industrial Engineering,-10.93193905,-73,606055631090,507667491110,182.9020983,120.7767777,1,1
KRAS.JK,2020Q2,Industrial Metals and Mining,-2.415378908,-19,47136546260000,39852067560000,-148.3425199,-14.30372052,1,1
KREN.JK,2020Q2,Investment Banking and Brokerage Services,0.838345523,1,4169799223140,2789995277090,-263.935973,36.96292606,1,1
LAND.JK,2020Q2,Real Estate Investment and Services Development,-0.132250109,0,720429919750,179549522810,-93.85224553,-24.9810012,1,1
LCKM.JK,2020Q2,Construction and Materials,0.663642408,1,145511945020,14835962170,-45.740486,-61.82160295,0,1
LEAD.JK,2020Q2,"Oil, Gas and Coal",-0.893950009,-3,2406510647000,1767780151000,-80.51801634,71.09737334,0,1
LINK.JK,2020Q2,Telecommunications Service Providers,3.574672838,6,7558351000000,2363287000000,-11.97421116,6.212342688,0,1
LION.JK,2020Q2,Industrial Metals and Mining,-2.426492655,-4,675310196510,217628852760,704.7759839,-28.71923899,1,1
LMAS.JK,2020Q2,Media,-5.210897236,-13,378910867870,322315505320,-48.32476532,-47.58294386,1,1
LMPI.JK,2020Q2,Household Goods and Home Construction,-1.046226366,-3,712085394400,453960785600,102.5334891,-2.374569936,0,1
LMSH.JK,2020Q2,Industrial Metals and Mining,-2.403699573,-3,136048810400,28455305450,-119.2322338,-16.65803069,1,1
LPCK.JK,2020Q2,Real Estate Investment and Services Development,-2.817009415,-4,13693972000000,3320617000000,-612.178489,79.31953423,1,1
LPIN.JK,2020Q2,Automobiles and Parts,1.850353047,2,328210772180,26163923710,198.7866305,27.43421415,1,1
LPKR.JK,2020Q2,Real Estate Investment and Services Development,1.206871233,3,59775073000000,33297442000000,-218.8086677,-14.41183965,1,1
LPLI.JK,2020Q2,Software & Computer Services,-2.776137732,-4,896642000000,200865000000,3.343196573,-24.02958429,1,1
LPPF.JK,2020Q2,Retailers,-2.94928106,-22,8680864000000,7900233000000,-119.1957177,-82.50103842,1,1
LPPS.JK,2020Q2,Investment Banking and Brokerage Services,-0.812393484,-1,1043613599760,5161957700,-75.15122422,-5057.578668,1,1
LRNA.JK,2020Q2,Industrial Transportation,-2.66028927,-3,293346401790,51519648390,124.745858,-77.08115894,1,1
LSIP.JK,2020Q2,Food Producers,0.781613334,1,10470589000000,1891729000000,177.0201203,-12.70777295,0,1
LTLS.JK,2020Q2,Chemicals,2.200716473,6,6029827000000,4133661000000,56.73343297,-15.77408721,0,1
LUCK.JK,2020Q2,Software & Computer Services,-0.064532135,0,162880700390,37019574740,16.70401063,-2.35382309,1,1
MAIN.JK,2020Q2,Food Producers,-1.180984943,-3,4992718600000,3005095623000,-72.48810239,-22.16327591,0,1
MAMI.JK,2020Q2,Travel and Leisure,-0.371958807,0,1761230920630,359108277170,-81.40254758,-74.48782428,1,1
MAPA.JK,2020Q2,Retailers,-2.736530434,-5,5390244000000,2494290000000,-164.4260995,-66.59678804,1,1
MAPB.JK,2020Q2,Travel and Leisure,-3.720448364,-9,2655812000000,1583226000000,-382.7011067,-61.65819032,1,1
MAPI.JK,2020Q2,Retailers,-2.536617863,-7,18746243000000,13288746000000,-167.7324734,-60.95751383,1,1
MARI.JK,2020Q2,Media,2.779297348,4,339737360040,121041794200,-31.49952406,2.353286661,1,1
MARK.JK,2020Q2,Medical Equipment and Services,5.818563657,9,485326553060,141601529850,10.30671926,9.195509919,0,1
MASA.JK,2020Q2,Automobiles and Parts,-0.890140226,-2,5993478608600,3773140137000,-54.64562035,-32.34792574,1,1
MBAP.JK,2020Q2,"Oil, Gas and Coal",4.105589606,6,3072981264800,742900693200,-19.84266285,-3.118875206,0,1
MBSS.JK,2020Q2,Industrial Transportation,-1.054811698,-1,3090438121000,887606884200,288.1633288,-34.26353099,1,1
MBTO.JK,2020Q2,Personal Goods,-3.381041328,-10,578032373170,386855837450,6.487796326,-21.03204468,1,1
MCAS.JK,2020Q2,Software & Computer Services,2.736819922,10,2162237758960,1705602421490,-17.51705022,26.48037466,1,1
MDIA.JK,2020Q2,Media,4.752316765,13,6242948974000,4045813037000,-2185.894396,-31.94036162,1,1
MDKA.JK,2020Q2,Industrial Metals and Mining,2.262037617,5,13353964093800,7195836305000,-0.613237561,-4.669001091,1,1
MDKI.JK,2020Q2,Chemicals,1.006033824,1,916820000000,103947000000,39.72711768,2.463431508,0,1
MDLN.JK,2020Q2,Real Estate Investment and Services Development,-0.969672952,-2,17000433883130,9946648049580,-104.8894225,-88.06752937,1,1
MEDC.JK,2020Q2,"Oil, Gas and Coal",-0.464212092,-3,89767130085200,84994601336000,-25.20314356,-15.89969516,0,1
MERK.JK,2020Q2,Pharmaceuticals and Biotechnology,-0.299366244,0,954480964000,335059886000,156.4058143,-21.50570639,0,1
META.JK,2020Q2,Industrial Transportation,1.029836011,2,5618967729320,2999247587180,-16.35720064,418.7998557,1,1
MFIN.JK,2020Q2,Finance and Credit Services,0.328344009,1,4573074000000,2223751000000,-50.57298087,-13.1715941,0,1
MFMI.JK,2020Q2,Industrial Support Services,-0.802993438,-2,366168276110,238836530960,23.42569277,2.769620255,1,1
MGRO.JK,2020Q2,Food Producers,-1.147964885,-3,1379981231340,793116754720,46.89670966,83.69567069,0,1
MICE.JK,2020Q2,"Personal Care, Drug and Grocery Stores",-0.293431437,0,1021654294820,346822735580,23.27082112,-20.91433202,0,1
MIDI.JK,2020Q2,Retailers,1.097129553,5,5578479000000,4305890000000,10.84975783,4.582995911,1,1
MIKA.JK,2020Q2,Health Care Providers,1.667374521,2,5858822121250,1594017544620,-58.40557464,-27.3355789,0,1
MINA.JK,2020Q2,Real Estate Investment and Services Development,-1.814995676,-2,120247949210,4521147870,-41.61364931,-99.44900407,1,1
MIRA.JK,2020Q2,Industrial Transportation,-2.391723472,-4,329370565370,108822618160,-129.996927,-41.74017197,1,1
MKNT.JK,2020Q2,Telecommunications Equipment,-0.654091897,-6,802697344830,694823758220,-137.0342131,9.718370322,0,1
MKPI.JK,2020Q2,Real Estate Investment and Services Development,-1.234142555,-2,7728072653850,2111037269750,-191.8639756,-67.5743902,1,1
MLBI.JK,2020Q2,Beverages,-2.03453923,-6,3472964000000,2265536000000,-121.6943929,-78.33692392,0,1
MLIA.JK,2020Q2,Construction and Materials,-0.378593364,-1,5725090238000,3254605482000,-194.0076786,-16.23589376,0,1
MLPL.JK,2020Q2,Retailers,0.198723107,2,17073295000000,12659906000000,-714.1472868,-26.82975289,1,1
MLPT.JK,2020Q2,Software & Computer Services,2.052536234,6,2336879000000,1253294000000,92.16580623,3.747075602,1,1
MMLP.JK,2020Q2,Industrial Support Services,0.727364484,0,6755553584000,2864413845000,15.2743352,12.467657,1,1
MNCN.JK,2020Q2,Media,3.67548235,5,18393876000000,5833306000000,-20.79207505,-17.521152,1,1
MOLI.JK,2020Q2,Chemicals,0.983181588,1,1898084712000,829431501000,80.54116728,13.47971256,0,1
MPMX.JK,2020Q2,Automobiles and Parts,-1.525605264,-2,8714116000000,2391504000000,-94.90742607,-57.85825537,1,1
MPOW.JK,2020Q2,Electricity,7.631171223,15,268476850000,125334593000,-46.38537427,-25.24136947,1,1
MPPA.JK,2020Q2,Retailers,-2.130348127,-21,5586292000000,5155849000000,-54.09977032,-2.090483917,1,1
MRAT.JK,2020Q2,Personal Goods,0.234743013,0,528525660500,159490682950,-379.9293711,8.057443706,1,1
MSKY.JK,2020Q2,Media,-1.152034888,-2,4216867000000,1457121000000,-171.263246,-16.84274057,1,1
MTDL.JK,2020Q2,Technology Hardware & Equipment,1.712376677,3,5559709000000,3385853000000,14.84067981,-3.84959233,0,1
MTFN.JK,2020Q2,Investment Banking and Brokerage Services,-1.463634045,-87,853686786850,945485259480,-1566.560255,109.2779301,1,1
MTLA.JK,2020Q2,Real Estate Investment and Services Development,0.504074412,1,5810985000000,2241991000000,-6.572936256,-62.22954413,1,1
MTRA.JK,2020Q2,Construction and Materials,0.4419213,1,348374471100,216723646040,-715.5402087,91.68798883,0,1
MTSM.JK,2020Q2,"Personal Care, Drug and Grocery Stores",0.47165008,1,75610715010,20872993640,-132.8166509,-39.62693197,0,1
MYOH.JK,2020Q2,"Oil, Gas and Coal",9.644731551,12,2268712367600,402830213000,-48.56564586,-19.90430523,0,1
MYOR.JK,2020Q2,Food Producers,0.067348336,0,18350730146870,7750271209000,-15.85111518,-5.657656659,0,1
MYTX.JK,2020Q2,Personal Goods,-0.602065791,-7,3730938000000,3994773000000,-127.7667525,-53.91784793,1,1
NASA.JK,2020Q2,Real Estate Investment and Services Development,-0.124552066,0,1139764571360,55159704670,-25.6663743,-16.00163563,1,1
NATO.JK,2020Q2,Travel and Leisure,-0.113526881,0,807601259400,4438740570,-198.8226579,-99.82362652,1,1
NELY.JK,2020Q2,Industrial Transportation,1.437080121,2,556314925100,85166939770,-28.92836234,-6.881176939,1,1
NFCX.JK,2020Q2,Software & Computer Services,1.040163718,1,1411438174290,918571570220,-35.25931568,59.64393135,1,1
NIKL.JK,2020Q2,Industrial Metals and Mining,7.455306151,26,1945586043000,1295032599800,-1550.361574,-1.814837827,1,1
NIPS.JK,2020Q2,Electronic and Electrical Equipment,0.642446016,1,1900351922000,904579695000,120.3049211,11.91253882,1,1
NIRO.JK,2020Q2,Real Estate Investment and Services Development,-1.882312988,-1,8320062765370,6076782914990,-956.0060208,-20.43203006,1,1
NRCA.JK,2020Q2,Construction and Materials,0.624327123,1,2384941296950,1195533456710,6.553220779,-34.10400841,0,1
OASA.JK,2020Q2,Telecommunications Equipment,-3.280172165,-3,47870572360,645100060,391.9259414,-94.0565243,0,1
OMRE.JK,2020Q2,Real Estate Investment and Services Development,-1.713720901,-2,4249950090440,532050901080,10.34546865,-69.28688541,1,1
PADI.JK,2020Q2,Investment Banking and Brokerage Services,-0.628335143,-1,311088233620,28141549810,1416.402217,-85.03782736,1,1
PALM.JK,2020Q2,Food Producers,0.443920007,0,2238839436000,262916260000,-83.52070865,23.15063167,0,1
PANR.JK,2020Q2,Travel and Leisure,-1.854603107,-4,2160888238000,1400066121000,-113.8606615,-20.85343413,1,1
PANS.JK,2020Q2,Investment Banking and Brokerage Services,5.246016779,9,1940528454850,804488974080,172.1524895,52.13574186,1,1
PBID.JK,2020Q2,General Industrials,3.383827775,5,2262044859000,573300937000,45.12762818,-17.13998613,1,1
PBRX.JK,2020Q2,Personal Goods,1.89385644,4,9269884735400,5953202056000,54.16492829,19.44454883,1,1
PBSA.JK,2020Q2,Construction and Materials,2.354804162,3,745627590450,189322276140,18.85006792,8.778363238,0,1
PCAR.JK,2020Q2,Food Producers,-6.29035304,-9,114878211520,37886281160,112.9264089,-48.80220706,0,1
PDES.JK,2020Q2,Travel and Leisure,-7.526807714,-18,388050702660,244974861300,-24733.10452,-97.57699942,1,1
PEGE.JK,2020Q2,Investment Banking and Brokerage Services,1.467040362,2,507245012210,8122437220,-94.99426582,-85.67411869,1,1
PGAS.JK,2020Q2,"Gas, Water and Multi-utilities",-0.368704207,-2,107146455008200,86985331583000,21.32503281,-35.6553406,0,1
PGLI.JK,2020Q2,Travel and Leisure,-1.924785018,-3,89996026030,27732244050,-48.10738445,-47.56071096,1,1
PICO.JK,2020Q2,General Industrials,-0.873392654,-3,1127616056630,810295714910,-15.51970667,-7.523937014,1,1
PJAA.JK,2020Q2,Travel and Leisure,-3.150405314,-7,4504181392540,2026657699820,-66.32094041,-89.63080157,1,1
PKPK.JK,2020Q2,"Oil, Gas and Coal",1.194834514,5,76964386000,59369214000,822.6921941,910.441724,0,1
PLIN.JK,2020Q2,Travel and Leisure,1.098271072,1,12679393237000,972457079000,-15.49536369,-19.75339488,1,1
PORT.JK,2020Q2,Industrial Transportation,-1.330640566,-3,2161615662000,1409223313000,-62.2044559,18.09615724,1,1
POWR.JK,2020Q2,Electricity,2.504863396,5,19099332973600,10372571830000,-46.82080523,-28.86984151,1,1
PPRE.JK,2020Q2,Construction and Materials,0.143997491,0,7145527787530,4980795726500,-46.30678144,-39.16182951,0,1
PPRO.JK,2020Q2,Real Estate Investment and Services Development,0.143236811,1,18569352514780,14566095600900,-43.63837467,-7.05516331,1,1
PRAS.JK,2020Q2,Industrial Metals and Mining,1.272541228,4,1650251826410,1199934182610,-141.8688082,-69.51230168,1,1
PRDA.JK,2020Q2,Medical Equipment and Services,-2.332207323,-3,1919741000000,385830000000,-336.8319035,-33.45636904,0,1
PSAB.JK,2020Q2,Travel and Leisure,-0.112854768,-2,13626743761200,11480926027000,7.226795171,-1.457312908,1,1
PSDN.JK,2020Q2,Food Producers,6.425388836,67,750398336680,718799843770,-732.4632398,-49.30743462,0,1
PSKT.JK,2020Q2,Travel and Leisure,-1.391839562,-2,451034015570,64512168270,38.23160132,-56.08036268,1,1
PSSI.JK,2020Q2,Industrial Transportation,0.819162212,1,2007918345200,747094144600,-42.82389538,-11.74959298,1,1
PTBA.JK,2020Q2,"Oil, Gas and Coal",1.432452631,2,26892528000000,7973055000000,-23.86305001,-26.29803552,0,1
PTIS.JK,2020Q2,General Industrials,0.003001754,0,501591550600,265693354200,-47.02707242,-4.560216595,1,1
PTPP.JK,2020Q2,Construction and Materials,0.009167369,0,54119100261110,43222826136320,-57.35142341,-41.38276294,0,1
PTRO.JK,2020Q2,"Oil, Gas and Coal",0.885637345,2,7514577560000,4514061200000,-39.55992033,-40.93363688,0,1
PTSN.JK,2020Q2,Electronic and Electrical Equipment,-0.069642071,0,2132430514600,980911142400,-90.64911098,-66.99361996,1,1
PTSP.JK,2020Q2,Travel and Leisure,-10.41062978,-26,344506152000,219708125000,-290.1461257,-75.0415617,1,1
PWON.JK,2020Q2,Real Estate Investment and Services Development,1.503960113,3,26492459196000,12750479564000,-84.58235118,-81.96158135,1,1
PYFA.JK,2020Q2,Pharmaceuticals and Biotechnology,0.654998117,1,201228762110,75957469450,92.26101183,-26.08467267,0,1
PZZA.JK,2020Q2,Travel and Leisure,0.187317112,0,2362404163820,1019665856700,-73.51944907,-16.51602838,1,1
RAJA.JK,2020Q2,"Gas, Water and Multi-utilities",0.585623895,1,2384497456000,1240881021000,-51.08504621,-18.05647072,0,1
RALS.JK,2020Q2,Retailers,-0.141167241,0,5464798000000,1295696000000,-107.1988726,-77.17101415,1,1
RANC.JK,2020Q2,"Personal Care, Drug and Grocery Stores",2.331276089,5,1301114220820,733264496470,223.582174,35.81922182,0,1
RBMS.JK,2020Q2,Real Estate Investment and Services Development,-1.53696442,-2,779265791660,201740381240,89.90337454,-89.15348579,1,1
RELI.JK,2020Q2,Investment Banking and Brokerage Services,9.4635277,12,630162209580,114026482470,297.3772069,9.152502058,1,1
RICY.JK,2020Q2,Personal Goods,-0.878349553,-4,1614148809550,1194456314430,34.61265945,-69.59431714,1,1
RIGS.JK,2020Q2,Industrial Transportation,-1.023625581,-1,692617278800,140203635000,-136.7489825,-44.15462246,1,1
RIMO.JK,2020Q2,Retailers,0.097870048,0,6514551004300,1550704436750,166.2863268,109.3974794,1,1
RISE.JK,2020Q2,Real Estate Investment and Services Development,-0.758599517,-1,2344224254160,722888738730,136.8300294,-65.65654582,1,1
RMBA.JK,2020Q2,Tobacco,-0.262610809,-1,15968610000000,8598687000000,123.5531424,-15.24672562,1,1
RODA.JK,2020Q2,Real Estate Investment and Services Development,-0.618123363,-1,4020631552220,1698815902950,-123.4122156,-76.60991597,1,1
ROTI.JK,2020Q2,Food Producers,-0.042333893,0,4829554855890,2022199112460,-74.97128618,-4.30386861,0,1
RUIS.JK,2020Q2,"Oil, Gas and Coal",1.580937553,5,1360997570190,927671458950,95.54108206,7.065244035,0,1
SAME.JK,2020Q2,Health Care Providers,-1.352075645,-3,2164674051750,1234630352620,-140.8820159,-68.04281867,0,1
SCCO.JK,2020Q2,Electronic and Electrical Equipment,0.713109126,1,3985844434200,869935479700,13.07069876,-44.15089741,1,1
SCMA.JK,2020Q2,Media,3.932034089,6,6788783649000,1756830262000,-6.714624121,-30.26553452,1,1
SCPI.JK,2020Q2,Pharmaceuticals and Biotechnology,2.343129822,6,1762702209000,1018088922000,1660.2146,40.49734459,0,1
SDMU.JK,2020Q2,Industrial Transportation,8.339646118,181,187391865970,191289791930,56228.761,-31.80474691,1,1
SDPC.JK,2020Q2,Pharmaceuticals and Biotechnology,-0.2302525,-1,1222681109090,980974672380,-38.93814624,-15.25923709,0,1
SGRO.JK,2020Q2,Food Producers,0.027541927,0,9465047000000,5497754000000,399.999116,15.20289833,0,1
SHID.JK,2020Q2,Travel and Leisure,-0.862855356,-1,1442910492270,540436918650,-2882.08646,-80.36410012,1,1
SHIP.JK,2020Q2,Industrial Transportation,2.204141314,4,3406654389800,2446535949000,32.16650395,-8.895225597,1,1
SIDO.JK,2020Q2,Food Producers,5.076667973,6,3444139000000,366531000000,3.559971797,4.679754855,0,1
SILO.JK,2020Q2,Health Care Providers,-1.695901452,-3,8628200000000,2852582000000,-335.9758375,-22.00213927,0,1
SIMP.JK,2020Q2,Food Producers,-0.85628443,-2,34922234000000,20980183000000,-17.59631211,13.13243622,0,1
SIPD.JK,2020Q2,Food Producers,-0.769507683,-2,2444911000000,1479328000000,62.3811865,-9.433840663,0,1
SKBM.JK,2020Q2,Food Producers,-0.436731564,-1,1668237536080,842051534950,-36.32732102,51.59386414,0,1
SKLT.JK,2020Q2,Food Producers,0.659322356,1,796224897200,412036176610,17.56505072,2.396616917,0,1
SMAR.JK,2020Q2,Food Producers,4.656159782,14,31131301000000,20188950000000,-358.1354601,12.76728197,0,1
SMBR.JK,2020Q2,Construction and Materials,-1.304753849,-2,5609669373000,2281868447000,-146.524522,-18.1799289,0,1
SMCB.JK,2020Q2,Construction and Materials,0.070060479,0,19504357000000,12431267000000,173.6877271,-5.27254164,0,1
SMDM.JK,2020Q2,Real Estate Investment and Services Development,0.023987695,0,3210661357770,1436109214710,-78.59188263,-42.94005512,1,1
SMDR.JK,2020Q2,Industrial Transportation,1.112307013,2,7402725294600,4935503845600,-118.1135084,8.296800118,1,1
SMGR.JK,2020Q2,Construction and Materials,0.229617468,1,78299047000000,45575172000000,-12.08231437,-9.460852522,0,1
SMMT.JK,2020Q2,"Oil, Gas and Coal",-2.240037732,-3,875067185920,299831908640,-429.1558663,-18.79020859,0,1
SMRA.JK,2020Q2,Real Estate Investment and Services Development,0.02317706,0,25751657691000,18582715458000,-21.71571632,-29.05404574,1,1
SMRU.JK,2020Q2,Industrial Metals and Mining,-1.935569854,-5,1543770599000,933759344920,287.1039293,-36.89828161,1,1
SMSM.JK,2020Q2,Automobiles and Parts,2.67877168,4,3366507000000,1085610000000,-23.62744653,-25.00587141,1,1
SOCI.JK,2020Q2,Industrial Transportation,0.156908279,0,9707044067600,5618049280000,-8.562587207,-11.62073329,1,1
SONA.JK,2020Q2,Travel and Leisure,-1.958207214,-3,1019673714440,251982920810,-655.5753081,-99.4437171,1,1
SOTS.JK,2020Q2,Real Estate Investment and Services Development,-1.53338672,-1,432173973900,143353658580,-17.61018834,-14.3095547,1,1
SPMA.JK,2020Q2,Industrial Materials,3.781119689,6,2344794337500,907263124280,119.2762899,-31.19821279,1,1
SPTO.JK,2020Q2,Retailers,-0.265305668,0,2889110468790,1909291277820,-30.48874591,-31.88542171,1,1
SRAJ.JK,2020Q2,Health Care Providers,-0.286611244,-1,3470697516590,1704641176990,-219.6713457,8.868454406,0,1
SRIL.JK,2020Q2,Personal Goods,1.794266189,5,25858986833000,13416172734000,17.37385295,14.42287152,1,1
SRTG.JK,2020Q2,Investment Banking and Brokerage Services,17.4230332,21,24127195000000,3639217000000,86.29876122,68.09194716,1,1
SSIA.JK,2020Q2,Construction and Materials,-1.362825069,-3,7822365003250,4188249161150,14.68931681,-41.03738226,0,1
SSMS.JK,2020Q2,Food Producers,3.755499054,12,11454057708000,8315676581000,-215.1029797,31.0437539,0,1
SSTM.JK,2020Q2,Personal Goods,-0.013188288,0,456144737740,254294612850,-8.92193278,-77.19796311,1,1
STTP.JK,2020Q2,Food Producers,3.304158772,4,3111044741150,811127299690,30.06410413,-100,0,1
SUPR.JK,2020Q2,Telecommunications Service Providers,0.586558979,2,12890386000000,9732450000000,-14.55184146,4.259691901,0,1
SURE.JK,2020Q2,"Oil, Gas and Coal",0.795981146,3,532540717370,422485518830,-23.81548881,21.54230572,0,1
TALF.JK,2020Q2,General Industrials,-0.238046733,0,1445462219640,456432970470,29.32685335,17.19147686,1,1
TAMU.JK,2020Q2,Industrial Transportation,-1.06522385,-2,1189475261800,734015406000,-176.1162603,5.978134481,1,1
TARA.JK,2020Q2,Real Estate Investment and Services Development,-0.165519901,0,1121242279320,78992791190,-303.3201129,-62.5,1,1
TBIG.JK,2020Q2,Telecommunications Equipment,0.860719874,6,34040892000000,29601176000000,14.74900543,14.75665547,0,1
TBLA.JK,2020Q2,Food Producers,1.161725811,4,19341824000000,13060063000000,26.65778961,49.89223248,0,1
TBMS.JK,2020Q2,Industrial Metals and Mining,1.342735991,4,1713036453600,1016710254000,-44.06654274,-50.2705746,1,1
TCID.JK,2020Q2,Personal Goods,-2.512557829,-3,2280351480990,513953610080,-99.5019664,-37.39412632,1,1
TCPI.JK,2020Q2,Industrial Transportation,0.669660751,2,2972394000000,1612726000000,-44.44581173,-24.29882936,1,1
TDPM.JK,2020Q2,Chemicals,1.279806268,3,4945246348800,2815180493400,-22.70800513,12.01882927,0,1
TELE.JK,2020Q2,Telecommunications Equipment,-97.74862958,-452,2956614000000,4945881000000,26.06327097,28.23641891,0,1
TFCO.JK,2020Q2,Chemicals,0.192356325,0,4301361483600,338504708000,-72.45598339,-34.44682366,0,1
TGKA.JK,2020Q2,"Personal Care, Drug and Grocery Stores",3.437693244,8,3121599704940,2133504552450,0.8834699,3.72668335,0,1
TGRA.JK,2020Q2,Electricity,-1.090685404,-2,560037421240,267217048020,-596.0498158,-79.98216772,1,1
TIFA.JK,2020Q2,Finance and Credit Services,0.63308871,2,1085425972000,700844199000,-33.03074628,-21.61671412,0,1
TINS.JK,2020Q2,Industrial Metals and Mining,0.129951635,1,18396760000000,13947916000000,-181.8613022,-36.05441947,1,1
TIRA.JK,2020Q2,Industrial Engineering,0.183114146,0,340072628310,178264945250,-0.439631213,-11.91858276,1,1
TKIM.JK,2020Q2,Industrial Materials,-2.153729449,-4,44013514700000,25110280400000,37.0851294,-32.23167111,1,1
TLKM.JK,2020Q2,Telecommunications Service Providers,2.921364423,5,246351000000000,135467000000000,-0.8313243,-5.341254891,0,1
TMAS.JK,2020Q2,Industrial Transportation,0.153221243,0,3488787000000,2303569000000,63.73296781,16.22779933,1,1
TNCA.JK,2020Q2,Industrial Transportation,0.675661153,1,52583624520,10026765340,-16.14612385,8.95980987,1,1
TOBA.JK,2020Q2,"Oil, Gas and Coal",0.660268698,1,10458017434800,8179544402000,158.5068858,-56.69020654,0,1
TOPS.JK,2020Q2,Construction and Materials,-0.469481044,-1,2657985037380,1517557759780,-111.2141205,-70.49809886,0,1
TOTL.JK,2020Q2,Construction and Materials,-0.358903289,-1,2997900528000,1868342961000,-127.8611165,-13.04164619,0,1
TOTO.JK,2020Q2,Construction and Materials,-2.132137787,-4,3207371538230,1201347562010,-338.9193251,-34.46453735,0,1
TOWR.JK,2020Q2,Telecommunications Service Providers,2.373907261,8,34087988000000,23210514000000,-7.881090951,20.62358013,0,1
TPIA.JK,2020Q2,Chemicals,-0.368914928,-1,47174860620000,22773491220000,-123.9953986,-27.00646748,0,1
TPMA.JK,2020Q2,Industrial Transportation,0.38735715,1,1577636596600,433506847800,-96.4860872,-19.7955015,1,1
TRAM.JK,2020Q2,Industrial Transportation,1.609957165,4,8235160500000,3728725745000,718.682916,-100,1,1
TRIM.JK,2020Q2,Investment Banking and Brokerage Services,0.091144262,0,2424577756000,1565764991000,-43.22922752,-12.30823594,1,1
TRIS.JK,2020Q2,Personal Goods,0.223547504,0,1236981736720,795146156220,-54.67661101,-21.29974433,1,1
TRST.JK,2020Q2,General Industrials,0.646486833,1,4430908784450,2581143962480,-3.103160807,20.01133691,1,1
TRUK.JK,2020Q2,Industrial Transportation,-4.832245526,-7,88924840550,24659817090,4.439911322,-40.13972079,1,1
TRUS.JK,2020Q2,Investment Banking and Brokerage Services,0.450674149,0,320300808920,29809693370,-55.95330946,-8.309311903,1,1
TSPC.JK,2020Q2,Pharmaceuticals and Biotechnology,1.069790639,2,8756861340450,3108537952660,44.40374233,-2.508780147,0,1
TURI.JK,2020Q2,Retailers,-0.301705065,0,5748955000000,1698265000000,-98.74349929,-59.94315699,1,1
ULTJ.JK,2020Q2,Food Producers,1.716872151,2,7054390000000,951001000000,-29.91672308,-9.063293893,0,1
UNIC.JK,2020Q2,Chemicals,1.822664408,2,3056081115400,752181267000,87.91144283,12.24924253,0,1
