Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH_YoY_in_percent,Treated,After_YoY
BHIT.JK,2020Q2,Telecommunications Service Providers,1.568293601,3,56499507000000,45059189000000,2.421166632,-15.87811048,0,1
BIKA.JK,2020Q2,Real Estate Investment and Services Development,-1.398045,-4,2331028642650,2064643728600,268.8469073,-52.01645207,1,1
BIPI.JK,2020Q2,"Oil, Gas and Coal",0.550716995,2,17399293570800,15629593551000,-22.90593701,36.58528692,0,1
BIPP.JK,2020Q2,Real Estate Investment and Services Development,0.862975208,1,2152100703490,1321197963580,-4493.168046,137.4185407,1,1
BIRD.JK,2020Q2,Travel and Leisure,-1.418491616,-2,7630135000000,2414617000000,-190.0697293,-71.62506303,1,1
BISI.JK,2020Q2,Food Producers,2.455600763,3,2800977000000,389208000000,339.5594059,12.98190892,0,1
BKDP.JK,2020Q2,Real Estate Investment and Services Development,-0.792297524,-1,818757973000,320580920250,18.5373753,-39.62482024,1,1
BKSL.JK,2020Q2,Real Estate Investment and Services Development,-1.060730209,-2,18612468579170,9261175776120,-245.3890215,-48.72062699,1,1
BLTA.JK,2020Q2,Industrial Transportation,2.589568616,6,1002874969800,597323606000,394.6564494,8.985969498,1,1
BLTZ.JK,2020Q2,Media,-4.576558777,-12,2766391225000,1775811132000,-430.1954932,-100,1,1
BMSR.JK,2020Q2,Real Estate Investment and Services Development,-1.888603139,-9,577347360080,605411217550,-64.9597809,-22.08695475,1,1
BMTR.JK,2020Q2,Media,2.490825441,4,30901194000000,19923067000000,-55.69366203,-14.55644289,1,1
BNBR.JK,2020Q2,Industrial Metals and Mining,1.004340247,7,15128154000000,12951030000000,-226.3621311,-26.35968338,1,1
BOGA.JK,2020Q2,Retailers,0.313060744,0,592120947370,178092235270,14.67915598,-52.37674369,1,1
BOLT.JK,2020Q2,Automobiles and Parts,-1.796213688,-3,1149720310350,466537162310,1843.315019,-70.52773187,1,1
BOSS.JK,2020Q2,"Oil, Gas and Coal",-2.552683722,-11,775727259790,603380764090,-79.76662754,34.91983079,0,1
BPFI.JK,2020Q2,Investment Banking and Brokerage Services,0.231099563,0,1613581425620,775273244450,-79.92454258,-14.14817041,1,1
BPII.JK,2020Q2,Industrial Support Services,0.691999788,2,2423830236840,1447913358500,-23.42815221,-7.901327172,1,1
BPTR.JK,2020Q2,Industrial Transportation,0.04330612,0,517981219740,296823303340,-33.58096745,-1.989819992,1,1
BRAM.JK,2020Q2,Chemicals,-0.128162378,0,3777722443600,959065434400,-96.31222058,-54.75078764,0,1
BRNA.JK,2020Q2,General Industrials,-0.756952744,-2,2167596983000,1387881156000,1181.48109,-7.866701592,1,1
BRPT.JK,2020Q2,Construction and Materials,0.142462559,-1,101762075180000,83631300300000,-68.96872399,-20.16984024,0,1
