Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_2018Q2,FE_Sector,Treat,After,DiD,Delete
APLN.JK,2020Q2,31.01768851,113.2813634,27.3486991,-44.60505675,-1.073551472,-5.092445322,1,0,0,9,0,1,0,0
APLN.JK,2019Q2,30.98101518,107.7436061,27.93938098,13.00063339,0.61930858,1.821981127,0,1,0,9,0,0,0,0
ARII.JK,2020Q2,29.2052705,137.6017972,26.12988766,84.67090528,-1.938574373,-13.1820365,1,0,0,3,1,1,1,0
ARII.JK,2019Q2,29.14629772,223.4883773,25.51648249,61.47401937,-0.434437517,-5.164570879,0,1,0,3,1,0,0,0
ARNA.JK,2020Q2,28.12247288,2.101684959,26.90852939,13.23204261,3.182686535,5.112592489,1,0,0,6,0,1,0,0
ARNA.JK,2019Q2,28.09589712,12.96411373,26.78426039,14.80719236,2.898428075,4.467317703,0,1,0,6,0,0,0,0
ARTI.JK,2020Q2,28.60491249,47.39946074,24.9384238,-22.62988082,0.328291581,0.155403103,1,0,0,3,1,1,1,0
ARTI.JK,2019Q2,28.55458353,41.66984876,25.19499333,85.96366708,0.245807001,0.185471797,0,1,0,3,1,0,0,0
ASII.JK,2020Q2,33.48977679,66.5076986,31.66658831,-0.276739759,2.097368577,4.274093837,1,0,0,6,0,1,0,0
ASII.JK,2019Q2,33.36544918,63.26602516,31.66935954,15.1895393,1.593431759,3.262716987,0,1,0,6,0,0,0,0
ASRI.JK,2020Q2,30.70352493,85.27010716,27.11682362,-49.41335543,3.871606489,9.08514539,1,0,0,9,0,1,0,0
ASRI.JK,2019Q2,30.67489975,87.08510665,27.79830621,20.21341804,-0.035988626,-0.083289444,0,1,0,9,0,0,0,0
ASSA.JK,2020Q2,29.11494643,237.6282625,26.9550715,12.82790009,0.523118203,2.87952096,1,0,0,11,1,1,1,0
ASSA.JK,2019Q2,28.84093461,191.4603366,26.83437803,9.714093555,0.62622412,2.850473911,0,1,0,11,1,0,0,0
ATIC.JK,2020Q2,29.08815411,387.5218679,27.97015099,21.12139038,-0.142794161,-2.195321484,1,0,0,10,1,1,1,0
ATIC.JK,2019Q2,28.81551731,231.5809973,27.7785279,13.14063335,-0.13929218,-2.158305992,0,1,0,10,1,0,0,0
AUTO.JK,2020Q2,30.4003114,10.22147041,28.924358,1.815621586,-2.795635407,-3.951966189,1,0,0,2,1,1,1,0
AUTO.JK,2019Q2,30.34794813,6.43799681,28.90636464,19.32789103,0.502910994,0.837826107,0,1,0,2,1,0,0,0
BAJA.JK,2020Q2,27.37834888,257.6558672,25.92410743,-21.16189008,11.38741992,395.6026723,1,0,0,1,1,1,1,0
BAJA.JK,2019Q2,27.59332718,199.7227709,26.16188111,-20.742233,-1.88070951,-20.71821443,0,1,0,1,1,0,0,0
BALI.JK,2020Q2,28.97626044,80.87526525,25.75714935,42.52268192,0.514035532,1.10847216,1,0,0,7,1,1,1,0
BALI.JK,2019Q2,28.62646313,94.80917415,25.40281838,37.12846144,0.337887824,0.683684083,0,1,0,7,1,0,0,0
BAPA.JK,2020Q2,25.86818458,0.754825305,20.43891678,-93.41176841,-1.955167936,-2.083872808,1,0,0,9,0,1,0,0
BAPA.JK,2019Q2,25.92351509,14.91817291,23.158802,-30.54142337,-1.205059089,-1.580234498,0,1,0,9,0,0,0,0
BATA.JK,2020Q2,27.62074947,1.564060025,25.95389275,-4.928779702,-0.878800031,-1.243338254,1,0,0,2,1,1,1,0
BATA.JK,2019Q2,27.50299419,1.288773802,26.00443664,-1.701656999,0.276985164,0.405142889,0,1,0,2,1,0,0,0
BBLD.JK,2020Q2,29.27098726,322.944688,26.04270359,17.04819588,-0.0558596,-0.227960425,1,0,0,4,0,1,0,0
BBLD.JK,2019Q2,29.18938634,304.3277385,25.885288,-4.022944256,0.318769344,1.377831336,0,1,0,4,0,0,0,0
BBRM.JK,2020Q2,27.80924371,250.5540503,24.85262669,-11.09887332,-1.748550492,-7.571840651,1,0,0,3,1,1,1,0
BBRM.JK,2019Q2,27.89456208,190.1339797,24.97027206,-25.73252651,-1.59986551,-6.158225561,0,1,0,3,1,0,0,0
BCAP.JK,2020Q2,30.55058516,41.68519878,27.23046295,8.455517512,0.080337574,0.26811893,1,0,0,4,0,1,0,0
BCAP.JK,2019Q2,30.60099205,55.05820107,27.14929302,4.501207901,0.066280691,0.212420855,0,1,0,4,0,0,0,0
BCIP.JK,2020Q2,27.47386441,23.18714834,24.36413989,-6.869412769,0.696270627,1.337629614,1,0,0,9,0,1,0,0
