Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q4,FE_2019Q4,FE_Sector,Treat,After,DiD,Delete
APIC.JK,2020Q4,28.74600724,29.71670548,25.96552126,105.6811966,0.229440487,0.523313091,1,0,3,0,1,0,0
APIC.JK,2019Q4,28.54814402,27.45433079,25.24436406,66.96188499,0.367519057,0.665320439,0,1,3,0,0,0,0
APII.JK,2020Q4,26.91942613,41.45725386,24.88528424,14.56155828,1.534530602,2.407233569,1,0,4,1,1,1,0
APII.JK,2019Q4,26.83318731,45.19454794,24.74934212,6.679143135,0.550840565,0.876788886,0,1,4,1,0,0,0
APLI.JK,2020Q4,26.79272339,76.45215177,25.49196635,-5.51740131,-0.363066102,-0.662511174,1,0,6,1,1,1,0
APLI.JK,2019Q4,26.78735533,63.66068137,25.54872085,12.1415479,0.776677241,1.613844462,0,1,6,1,0,0,0
APLN.JK,2020Q4,31.01281612,90.78915799,27.59604056,-26.06179196,-1.019338226,-5.071486804,1,0,9,0,1,0,0
APLN.JK,2019Q4,31.00085839,114.5199661,27.89798102,-14.35757319,-0.089012559,-0.669439439,0,1,9,0,0,0,0
ARII.JK,2020Q4,29.30088232,197.9986304,26.04358694,71.84025417,-1.877899199,-17.72996205,1,0,7,1,1,1,0
ARII.JK,2019Q4,29.26096586,231.6083422,25.50219183,15.23421137,-4.396174043,-33.57920873,0,1,7,1,0,0,0
ARMY.JK,2020Q4,28.18721614,1.700025096,22.55678618,-82.22199151,0.213034438,0.261455386,1,0,9,0,1,0,0
ARMY.JK,2019Q4,28.15051105,2.312273404,24.28399416,-15.52119839,-0.16053889,-0.192489741,0,1,9,0,0,0,0
ARNA.JK,2020Q4,28.21832826,4.026368429,26.97674688,2.338817718,5.347502947,8.19668223,1,0,4,1,1,1,0
ARNA.JK,2019Q4,28.13355606,8.790703559,26.95362802,9.001129097,3.168170866,4.863266866,0,1,4,1,0,0,0
ARTI.JK,2020Q4,28.89665907,31.68234185,24.24274908,-63.84419611,-47.60694301,-0.422776349,1,0,7,1,1,1,0
ARTI.JK,2019Q4,28.61136053,49.02046213,25.26008178,54.89985474,-1.050063445,0.00165785,0,1,7,1,0,0,0
ASBI.JK,2020Q4,27.47731102,2.29347717,25.0146053,-6.661422331,2.610624238,#VALUE!,1,0,3,0,1,0,0
ASBI.JK,2019Q4,27.49688713,4.220544595,25.08354199,18.30571238,0.288243195,#VALUE!,0,1,3,0,0,0,0
ASII.JK,2020Q4,33.49453297,62.43007975,31.72739695,-6.532553946,0.688186476,1.369249555,1,0,4,1,1,1,0
ASII.JK,2019Q4,33.4737275,62.73521873,31.79495393,15.20991546,1.96963445,4.016757701,0,1,4,1,0,0,0
ASRI.JK,2020Q4,30.71724617,75.20319285,28.0465592,96.22913199,-0.242943215,-0.537481191,1,0,9,0,1,0,0
ASRI.JK,2019Q4,30.670336,81.89866309,27.37244637,3.337235642,3.727217377,8.076019938,0,1,9,0,0,0,0
ASRM.JK,2020Q4,28.06798607,12.71853638,26.30072616,31.69244939,0.953183763,#VALUE!,1,0,3,0,1,0,0
ASRM.JK,2019Q4,28.02171572,13.61048212,26.02542707,-6.16406352,0.720946986,#VALUE!,0,1,3,0,0,0,0
ASSA.JK,2020Q4,29.17682508,245.8882487,27.10022499,24.97980172,0.064015368,0.658998328,1,0,8,1,1,1,0
ASSA.JK,2019Q4,28.94006755,211.1379334,26.87724303,11.71463686,0.806879221,2.731315195,0,1,8,1,0,0,0
AUTO.JK,2020Q4,30.40459117,7.162725023,28.97013241,-1.041005864,1.633456652,2.41281953,1,0,2,0,1,0,0
AUTO.JK,2019Q4,30.39668894,8.175367197,28.98059703,7.847508296,1.784100624,2.511604813,0,1,2,0,0,0,0
BAJA.JK,2020Q4,27.4529355,324.5823717,26.60610558,2.500679298,7.218791638,54.96426378,1,0,6,1,1,1,0
BAJA.JK,2019Q4,27.52697285,386.6514233,26.58140634,8.035255272,1.663142863,18.9366145,0,1,6,1,0,0,0
BALI.JK,2020Q4,29.05357251,96.01101689,25.8255038,21.13827717,0.755740326,1.60547166,1,0,5,1,1,1,0
BALI.JK,2019Q4,28.86581019,85.08087254,25.6337413,53.74970621,0.352030782,0.754004638,0,1,5,1,0,0,0
BBCA.JK,2020Q4,34.45429561,2.467001662,30.58518549,12.19420713,0.68314853,#VALUE!,1,0,3,0,1,0,0
BBCA.JK,2019Q4,34.34614743,1.899859557,30.47012432,12.05566604,0.843764526,#VALUE!,0,1,3,0,0,0,0
BBKP.JK,2020Q4,32.2388303,80.43616018,26.25351205,-61.45212887,-2.743681764,#VALUE!,1,0,3,0,1,0,0
BBKP.JK,2019Q4,32.19165328,72.11049954,27.20678136,-28.19626685,0.067429801,#VALUE!,0,1,3,0,0,0,0
BBLD.JK,2020Q4,29.25068694,307.6205628,26.12203017,14.11549179,0.103502091,0.361127072,1,0,3,0,1,0,0
BBLD.JK,2019Q4,29.24426099,317.7322065,25.98998933,4.855902947,0.294091459,1.242774699,0,1,3,0,0,0,0
BBNI.JK,2020Q4,34.37107371,51.01712004,30.35827213,6.20708179,-0.11313234,#VALUE!,1,0,3,0,1,0,0
BBNI.JK,2019Q4,34.32629086,70.90901325,30.29805153,6.858424436,0.412857446,#VALUE!,0,1,3,0,0,0,0
