Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
GJTL.JK,2020Q2,GJTL.JK2020Q2,Automobiles and Parts,1.355307229,4,1.83659E+13,1.22441E+13,-122.0186912,-41.25323677,1.48,1.01,1,1
GMTD.JK,2020Q2,GMTD.JK2020Q2,Real Estate Investment and Services Development,0.319292981,1,1.10286E+12,4.11483E+11,-62.62894501,-32.95278501,1.52,0.14,1,1
GOLD.JK,2020Q2,GOLD.JK2020Q2,Retailers,0.89801304,1,3.45564E+11,31038541000,14.81422682,6.567869259,0.69,0.69,1,1
GOLL.JK,2020Q2,GOLL.JK2020Q2,Food Producers,-0.337530853,-3,2.59568E+12,2.02807E+12,459.4748727,-86.974343,0.1,0.04,0,1
GPRA.JK,2020Q2,GPRA.JK2020Q2,Real Estate Investment and Services Development,-0.571854334,-1,1.82018E+12,6.68361E+11,-11.9784597,-21.73504633,3.95,0.38,1,1
GTBO.JK,2020Q2,GTBO.JK2020Q2,"Oil, Gas and Coal",0.976956222,1,7.64103E+11,1.96704E+11,-389.9559128,-74.26694343,0.47,0.34,0,1
GWSA.JK,2020Q2,GWSA.JK2020Q2,Real Estate Investment and Services Development,0.076588345,0,7.6285E+12,6.36987E+11,-65.21223725,-65.22579243,3.81,1,1,1
GZCO.JK,2020Q2,GZCO.JK2020Q2,Food Producers,-5.837227173,-15,1.65742E+12,1.10646E+12,-28.66776403,-12.93274102,0.63,0.53,0,1
HADE.JK,2020Q2,HADE.JK2020Q2,Investment Banking and Brokerage Services,-2.583876135,-4,17132302180,7801434360,21.29045126,0.902327989,5.94,5.94,1,1
HDFA.JK,2020Q2,HDFA.JK2020Q2,Finance and Credit Services,-2.479582988,-5,9.51837E+11,3.99999E+11,48.92833091,-76.32429566,11.37,11.37,0,1
HDTX.JK,2020Q2,HDTX.JK2020Q2,Industrial Materials,-8.39207431,-35,4.23791E+11,3.68146E+11,1019.586089,-97.07802561,0.1,0.03,1,1
HERO.JK,2020Q2,HERO.JK2020Q2,Retailers,-2.430719652,-5,6.4008E+12,3.08424E+12,351.6692411,-34.81248687,0.89,0.24,1,1
HEXA.JK,2020Q2,HEXA.JK2020Q2,Industrial Engineering,3.024150732,4,3.58516E+12,9.45242E+11,-19.1684485,-52.42649696,3.74,1.24,1,1
HITS.JK,2020Q2,HITS.JK2020Q2,Industrial Transportation,2.523956522,9,3.23759E+12,2.40292E+12,13.44319174,12.61859906,0.88,0.83,1,1
HMSP.JK,2020Q2,HMSP.JK2020Q2,Tobacco,2.974695127,5,4.19048E+13,1.52926E+13,-57.0706071,-21.8098518,2.58,0.87,1,1
HOKI.JK,2020Q2,HOKI.JK2020Q2,Food Producers,1.080756963,1,8.33147E+11,2.30124E+11,-32.12556753,-33.74434295,3.33,1.81,0,1
HOME.JK,2020Q2,HOME.JK2020Q2,Travel and Leisure,-0.915061926,-1,2.47478E+12,3.27826E+11,-31.579957,-33.08310948,6.75,6.75,1,1
HOTL.JK,2020Q2,HOTL.JK2020Q2,Travel and Leisure,-1.219673359,-5,1.36691E+12,1.04407E+12,-291.233437,-88.18966267,0.44,0.44,1,1
HRUM.JK,2020Q2,HRUM.JK2020Q2,"Oil, Gas and Coal",4.79728938,7,6.61764E+12,1.90116E+12,187.5184185,-38.68612843,9.48,8.72,0,1
