Firm,Period,ICB Sector,ROA_in_percent,TA,Total Liabilities,FCF,GROWTH_YoY_in_percent,Treated,After_YoY,
BBRM.JK,2020Q2,Industrial Transportation,-1.748550492,1217037381000,941497617000,7000035000,49.68257944,1,1,
BBRM.JK,2019Q2,Industrial Transportation,-1.59986551,1195091311050,891057761100,5618554500,-39.79312695,1,0,
BCAP.JK,2019Q2,Investment Banking and Brokerage Services,0.071185273,18387352000000,13482514000000,21578000000,-15.48585573,1,0,
BCAP.JK,2020Q2,Investment Banking and Brokerage Services,-0.033830637,17431337000000,13465655000000,20581000000,-28.74205209,1,1,
BFIN.JK,2019Q2,Investment Banking and Brokerage Services,1.918747726,18369144000000,12261062000000,351350000000,-2.404442296,1,0,
BFIN.JK,2020Q2,Investment Banking and Brokerage Services,0.022606467,17285051000000,11134456000000,15901000000,-65.12338799,1,1,
BIPI.JK,2020Q2,"Oil, Gas and Coal",0.550716995,17399293570800,15629593551000,195648085000,-22.90593701,0,1,
BIPI.JK,2019Q2,"Oil, Gas and Coal",1.892157659,17505245231250,14128822700850,163674457050,-1107.012166,0,0,
BIRD.JK,2019Q2,Travel and Leisure,0.965567963,7086504000000,1923391000000,20193000000,-19.09862133,1,0,
BIRD.JK,2020Q2,Travel and Leisure,-1.418491616,7630135000000,2414617000000,12231000000,-190.0697293,1,1,
BISI.JK,2020Q2,Food Producers,2.455600763,2800977000000,389208000000,68796000000,339.5594059,0,1,
BISI.JK,2019Q2,Food Producers,0.464021257,2674293000000,575967000000,17698000000,-155.094916,0,0,
BLTA.JK,2020Q2,Industrial Transportation,2.589568616,1002874969800,597323606000,17909951000,394.6564494,1,1,
BLTA.JK,2019Q2,Industrial Transportation,0.138908802,1012205551250,604283579250,1030614000,-69.56690942,1,0,
BMSR.JK,2019Q2,Real Estate Investment and Services Development,-0.31350438,578515936140,413644922810,5063193330,47.09917781,1,0,
BMSR.JK,2020Q2,Real Estate Investment and Services Development,-1.888603139,577347360080,605411217550,1739289500,-64.9597809,1,1,
BMTR.JK,2019Q2,Media,1.92983822,29598282000000,19032717000000,444943000000,112.1276061,1,0,
BMTR.JK,2020Q2,Media,2.490825441,30901194000000,19923067000000,167272000000,-55.69366203,1,1,
