Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
UNIT.JK,2019Q2,UNIT.JK2019Q2,Investment Banking and Brokerage Services,-0.022568124,0.002509067,4.21E+11,2.92E+11,-3.95892219,71.31661391,0.91,0.26,0,1
UNTR.JK,2019Q2,UNTR.JK2019Q2,Industrial Engineering,2.182048976,4.699021112,1.18E+14,6.35E+13,0.230360349,3.835281173,1.39,1.08,0,1
UNVR.JK,2019Q2,UNVR.JK2019Q2,"Personal Care, Drug and Grocery Stores",8.884577097,27.56781426,2.18E+13,1.68E+13,15.61176611,3.406143059,0.66,0.49,1,1
VICO.JK,2019Q2,VICO.JK2019Q2,Investment Banking and Brokerage Services,0.072473968,0.724877192,2.98E+13,2.71E+13,-51.02825577,8.57893594,11.85,11.85,0,1
VOKS.JK,2019Q2,VOKS.JK2019Q2,Technology Hardware & Equipment,1.515345657,3.72029122,2.43E+12,1.52E+12,403.9144188,32.26748165,1.4,1,1,1
VRNA.JK,2019Q2,VRNA.JK2019Q2,Finance and Credit Services,-0.731841949,-3.042130041,2.61E+12,2.12E+12,-10.60589223,27.00861732,0.07,0.07,1,1
WAPO.JK,2019Q2,WAPO.JK2019Q2,Food Producers,-1.03080623,-1.263163262,1.02E+11,9533743440,-166.7720411,-15.0290875,2.11,1.08,1,1
WEHA.JK,2019Q2,WEHA.JK2019Q2,Travel and Leisure,0.855308279,1.800048278,3.26E+11,1.83E+11,9.227765828,10.57387485,0.42,0.4,0,1
WICO.JK,2019Q2,WICO.JK2019Q2,Retailers,-1.715550667,-2.621967003,3.96E+11,1.33E+11,512.0234462,38.08501737,3.17,2.44,0,1
WIIM.JK,2019Q2,WIIM.JK2019Q2,Tobacco,0.253344157,0.328046405,1.29E+12,2.88E+11,273.0800504,-1.080919133,5.63,2.01,0,1
WIKA.JK,2019Q2,WIKA.JK2019Q2,Construction and Materials,1.145187902,3.975195578,5.96E+13,4.29E+13,26.99864423,-27.68770855,1.47,1.2,1,1
WINS.JK,2019Q2,WINS.JK2019Q2,Industrial Transportation,-1.080997746,-1.714169939,3.77E+12,1.73E+12,128.2380273,-12.61931169,0.92,0.92,0,1
WOMF.JK,2019Q2,WOMF.JK2019Q2,Finance and Credit Services,0.407565226,2.962394468,8.36E+12,7.17E+12,-9.459964356,-6.999440804,0.24,0.24,1,1
WOOD.JK,2019Q2,WOOD.JK2019Q2,Household Goods and Home Construction,1.352118623,2.500573249,4.87E+12,2.00E+12,8.765745653,10.82465963,1.35,0.6,1,1
WSBP.JK,2019Q2,WSBP.JK2019Q2,Construction and Materials,0.614917766,1.135438798,1.47E+13,6.45E+12,-52.87125599,4.650697917,1.28,0.94,1,1
WSKT.JK,2019Q2,WSKT.JK2019Q2,Construction and Materials,0.167029431,1.532891848,1.33E+14,1.15E+14,-66.43016226,-41.79854675,1.18,1.07,1,1
WTON.JK,2019Q2,WTON.JK2019Q2,Construction and Materials,1.084933854,3.158337834,8.85E+12,5.62E+12,21.33727243,-4.147006123,1.04,0.78,1,1
YPAS.JK,2019Q2,YPAS.JK2019Q2,Chemicals,-0.714192546,-1.91389745,3.01E+11,2.08E+11,-105.6508296,-5.020258789,1.34,0.75,1,1
YULE.JK,2019Q2,YULE.JK2019Q2,Investment Banking and Brokerage Services,0.811709944,0.821025463,3.83E+11,4185210590,321.0407204,-38.7173913,87.14,87.14,0,1
