Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_Sector,Treat,After,DiD,Delete
APLN.JK,2020Q3,30.99252056,114.1602251,27.81544997,5.844144703,1.430652817,5.305146453,1,0,0,0,1,0,0
APLN.JK,2019Q3,30.99062299,116.140626,27.75865248,-58.38159721,0.026157824,-0.21337406,0,1,0,0,0,0,0
ARII.JK,2020Q3,29.31635782,119.3577629,26.23083825,73.08226241,0.335359463,4.288535691,1,0,5,1,1,1,0
ARII.JK,2019Q3,29.19775949,222.8101901,25.68224145,136.2489816,2.87490794,26.53918942,0,1,5,1,0,0,0
ARNA.JK,2020Q3,28.18039578,4.345565534,27.09523896,8.368162402,5.697448085,8.80843151,1,0,3,0,1,0,0
ARNA.JK,2019Q3,28.12563055,11.56869794,27.0148748,19.47114156,3.488527482,5.320591089,0,1,3,0,0,0,0
ARTI.JK,2020Q3,28.89626944,32.59792479,24.4423514,-47.79026172,-20.76414572,-0.050659517,1,0,5,1,1,1,0
ARTI.JK,2019Q3,28.56682807,43.36203791,25.09225255,67.80633269,-0.969145861,-0.679284102,0,1,5,1,0,0,0
ASBI.JK,2020Q3,27.42873861,4.72908468,24.93402922,-12.59020346,-0.321839531,#VALUE!,1,0,0,0,1,0,0
ASBI.JK,2019Q3,27.36939179,3.557476464,25.06859204,-1.414994403,-0.022926945,#VALUE!,0,1,0,0,0,0,0
ASII.JK,2020Q3,33.51189762,63.44192882,31.73963012,-2.350506201,0.90402343,1.730810508,1,0,3,0,1,0,0
ASII.JK,2019Q3,33.44013911,62.45697464,31.76341583,19.4141089,2.068573187,4.29645162,0,1,3,0,0,0,0
ASRI.JK,2020Q3,30.71322396,88.16692645,27.24152615,-32.69722293,-2.170108004,-4.859932334,1,0,0,0,1,0,0
ASRI.JK,2019Q3,30.67688914,88.1901439,27.63749484,-32.2078843,0.221721379,0.504461858,0,1,0,0,0,0,0
ASRM.JK,2020Q3,28.03708503,16.54713811,26.39433577,3.564673724,0.382852625,#VALUE!,1,0,0,0,1,0,0
ASRM.JK,2019Q3,28.06652209,15.83182491,26.35930968,54.62136251,0.624148753,#VALUE!,0,1,0,0,0,0,0
ASSA.JK,2020Q3,29.14661456,239.1605992,27.07244737,31.82952658,-0.165937697,0.664331958,1,0,6,1,1,1,0
ASSA.JK,2019Q3,28.86190541,200.8309441,26.79610793,8.074228809,0.354673371,2.19008288,0,1,6,1,0,0,0
ATIC.JK,2020Q3,29.04676855,385.841327,27.98243366,20.4774458,-0.852462929,-6.0988817,1,0,7,1,1,1,0
ATIC.JK,2019Q3,28.82372251,227.8396594,27.79614128,6.035581729,0.006341556,-1.513115977,0,1,7,1,0,0,0
AUTO.JK,2020Q3,30.43029346,7.82258831,29.02745861,-1.016807241,0.324837795,0.537251248,1,0,2,1,1,1,0
AUTO.JK,2019Q3,30.39674967,6.464154644,29.03767873,16.54502911,1.816633893,2.575903854,0,1,2,1,0,0,0
BAJA.JK,2020Q3,27.31576166,211.6302561,26.21163197,-36.078038,0.671924757,7.214717301,1,0,0,1,1,1,0
BAJA.JK,2019Q3,27.62557441,258.546521,26.65913916,15.8285669,-0.397472322,-4.582038545,0,1,0,1,0,0,0
BALI.JK,2020Q3,29.01052136,90.52414434,25.7890594,26.35847193,0.432789239,0.92587516,1,0,4,1,1,1,0
BALI.JK,2019Q3,28.71177396,95.85793764,25.5551067,58.41123227,0.185749379,0.381528725,0,1,4,1,0,0,0
BAPA.JK,2020Q3,25.81812117,0.89109243,23.646494,207.8748854,-0.09973312,-0.107779832,1,0,0,0,1,0,0
BAPA.JK,2019Q3,25.9008806,13.51148303,22.52197071,-17.57113523,4.947109879,6.353011748,0,1,0,0,0,0,0
BBCA.JK,2020Q3,34.42627252,2.018102636,30.56032979,13.59982887,0.788514036,#VALUE!,1,0,0,0,1,0,0
BBCA.JK,2019Q3,34.31433979,1.581079385,30.43281797,15.19651951,0.913886408,#VALUE!,0,1,0,0,0,0,0
BBKP.JK,2020Q3,32.19520567,70.87768902,27.83969894,48.28962049,-1.329661872,#VALUE!,1,0,0,0,1,0,0
BBKP.JK,2019Q3,32.13376882,47.76396549,27.44570187,-15.20233928,0.031214638,#VALUE!,0,1,0,0,0,0,0
BBLD.JK,2020Q3,29.26276499,314.9324584,26.05082642,9.127183895,0.052686127,0.198665143,1,0,0,0,1,0,0
BBLD.JK,2019Q3,29.22342232,313.3755124,25.96348258,4.263101191,0.212334158,0.914397205,0,1,0,0,0,0,0
BBNI.JK,2020Q3,34.33453424,57.37186133,30.26085043,0.475242599,-0.012611031,#VALUE!,1,0,0,0,1,0,0
BBNI.JK,2019Q3,34.26896529,65.93788353,30.25610926,7.671319392,0.525771282,#VALUE!,0,1,0,0,0,0,0
BBRI.JK,2020Q3,34.80549007,52.97458596,30.95452179,6.908480069,0.278786752,#VALUE!,1,0,0,0,1,0,0
BBRI.JK,2019Q3,34.70713774,58.68655549,30.88771883,15.90024287,0.666231563,#VALUE!,0,1,0,0,0,0,0
BBRM.JK,2020Q3,27.78063028,267.7770691,24.88899516,-16.65003846,-0.181901614,-0.799192255,1,0,5,1,1,1,0
BBRM.JK,2019Q3,27.90342156,196.4888658,25.0711172,-9.776497059,-1.817843294,-7.331032208,0,1,5,1,0,0,0
BBTN.JK,2020Q3,33.38743192,276.605915,28.61760776,-16.38570398,0.104900229,#VALUE!,1,0,0,0,1,0,0
BBTN.JK,2019Q3,33.23794264,217.2415671,28.79656344,19.46372713,-0.160611437,#VALUE!,0,1,0,0,0,0,0
BBYB.JK,2020Q3,29.18533844,17.42633759,25.82903318,103.3209026,0.138491532,#VALUE!,1,0,0,0,1,0,0
BBYB.JK,2019Q3,29.23078284,0.449278664,25.11941783,8.756128913,-0.095054668,#VALUE!,0,1,0,0,0,0,0
BCAP.JK,2020Q3,30.54268415,38.57061958,27.2148964,-4.929662727,-0.033830637,-0.133510202,1,0,0,0,1,0,0
BCAP.JK,2019Q3,30.55637111,50.74164824,27.26544957,14.49033812,0.071185273,0.242899327,0,1,0,0,0,0,0
BCIC.JK,2020Q3,30.39508605,40.7390877,26.27918229,95.84935364,-1.816454137,#VALUE!,1,0,0,0,1,0,0
BCIC.JK,2019Q3,30.51258683,12.37070327,25.60700671,-2.520289214,0.422819781,#VALUE!,0,1,0,0,0,0,0
BDMN.JK,2020Q3,32.9082495,55.57454114,29.15719198,-0.2592745,0.331799439,#VALUE!,1,0,0,0,1,0,0
BDMN.JK,2019Q3,32.81636357,51.05753932,29.15978809,6.072395751,0.339958927,#VALUE!,0,1,0,0,0,0,0
BELL.JK,2020Q3,26.98880026,58.22967585,25.96582229,8.142009199,-0.199512814,-0.785399968,1,0,2,1,1,1,0
BELL.JK,2019Q3,27.00725476,71.55299301,25.88754721,69.14391864,1.643117777,3.063449175,0,1,2,1,0,0,0
BEST.JK,2020Q3,29.48361158,42.87177118,26.18944768,98.80488867,-1.097222624,-1.597367922,1,0,0,0,1,0,0
BEST.JK,2019Q3,29.38203428,42.15935967,25.50229398,-44.41819806,1.523650285,2.267519573,0,1,0,0,0,0,0
BFIN.JK,2020Q3,30.55924984,175.1091471,27.87404651,0.280921631,1.108445265,3.029850763,1,0,0,0,1,0,0
BFIN.JK,2019Q3,30.59835345,220.1269115,27.87124123,25.74045744,2.158471679,6.344797788,0,1,0,0,0,0,0
BHIT.JK,2020Q3,31.72151701,179.0801951,29.06385287,7.296155691,1.568293601,2.567957622,1,0,3,0,1,0,0
BHIT.JK,2019Q3,31.6534798,186.9083994,28.99343023,4.829253484,1.010289298,1.361265974,0,1,3,0,0,0,0
BIKA.JK,2020Q3,28.47149298,396.8614832,25.32043681,-1.036689657,-1.398045,-3.927037382,1,0,0,0,1,0,0
BIKA.JK,2019Q3,28.48530248,365.9957319,25.33085782,-30.80803195,0.359211651,0.033487724,0,1,0,0,0,0,0
BIPI.JK,2020Q3,30.50769295,170.4882243,26.15389742,4416.548445,0.710577368,3.310317323,1,0,5,1,1,1,0
BIPI.JK,2019Q3,30.53741802,112.5440735,22.34356424,-45.17501353,0.698807364,3.216019231,0,1,5,1,0,0,0
BIPP.JK,2020Q3,28.40338289,49.37203378,24.82718262,92.32801421,0.862975208,0.797274297,1,0,0,0,1,0,0
BIPP.JK,2019Q3,28.17600422,47.64682726,24.17315048,13.68832732,-0.249701726,-0.347994349,0,1,0,0,0,0,0
BIRD.JK,2020Q3,29.63498317,18.06163883,27.67585011,-7.978840876,-0.835341591,-1.202504385,1,0,6,1,1,1,0
BIRD.JK,2019Q3,29.54445087,12.69072342,27.75900176,8.335557496,0.983144034,1.364946509,0,1,6,1,0,0,0
BJBR.JK,2020Q3,32.44775007,102.2172311,28.18675739,-6.741164286,0.288977359,#VALUE!,1,0,0,0,1,0,0
BJBR.JK,2019Q3,32.36795711,66.32822532,28.25654877,7.560897576,0.272436771,#VALUE!,0,1,0,0,0,0,0
BJTM.JK,2020Q3,31.90946782,4.602771864,27.73645623,5.275055305,0.418705387,#VALUE!,1,0,0,0,1,0,0
BJTM.JK,2019Q3,31.7809178,8.282512862,27.68504992,11.34887941,0.459699168,#VALUE!,0,1,0,0,0,0,0
BKDP.JK,2020Q3,27.38759994,31.58282468,23.05288043,-9.85188737,-0.792297524,-1.298046058,1,0,0,0,1,0,0
BKDP.JK,2019Q3,27.37281981,29.27314395,23.1565966,18.90486664,-1.22575127,-2.0864863,0,1,0,0,0,0,0
BKSL.JK,2020Q3,30.42710902,20.1930391,26.11548352,-35.00221739,-1.060730209,-2.010484028,1,0,0,0,1,0,0
BKSL.JK,2019Q3,30.35440924,16.7300485,26.54630055,107.9250788,0.344170523,0.586428487,0,1,0,0,0,0,0
